"scientific_name" "category" "criteria"
"Ambystoma californiense" "VU" "A2c"
"Ambystoma cingulatum" "VU" "A2c"
"Lechriodus fletcheri" "LC" NA
"Leptodactylus marambaiae" "LC" NA
"Litoria aurea" "VU" "A2ace"
"Litoria brevipalmata" "EN" "B2ab(iii,iv,v)"
"Litoria castanea" "CR" "D"
"Litoria dentata" "LC" NA
"Litoria lesueurii" "LC" NA
"Litoria nannotis" "EN" "A2ae"
"Litoria nyakalensis" "CR" "D"
"Litoria pearsoniana" "NT" NA
"Litoria piperata" "CR" "D"
"Litoria rheocola" "EN" "A2ae"
"Litoria spenceri" "CR" "B2ab(ii,iii,iv,v)"
"Litoria verreauxii" "LC" NA
"Litoria lorica" "CR" "D"
"Andrias davidianus" "CR" "A2ad"
"Andrias japonicus" "NT" NA
"Mantella aurantiaca" "CR" "B2ab(iii,v)"
"Aneides aeneus" "NT" NA
"Melanobatrachus indicus" "EN" "B1ab(iii)"
"Mertensiella caucasica" "VU" "B2ab(ii,iii)"
"Bokermannohyla itapoty" "LC" NA
"Pristimantis culatensis" "DD" NA
"Cophixalus timidus" "DD" NA
"Pristimantis waoranii" "DD" NA
"Hylodes pipilans" "DD" NA
"Cophixalus humicola" "LC" NA
"Bolitoglossa paraensis" "DD" NA
"Espadarana callistomma" "DD" NA
"Psychrophrynella katantika" "LC" NA
"Telmatobius chusmisensis" "DD" NA
"Pristimantis jabonensis" "DD" NA
"Kaloula macrocephala" "DD" NA
"Eleutherodactylus michaelschmidi" "EN" "B1ab(iii)+2ab(iii)"
"Pleurodema fuscomaculatum" "DD" NA
"Litoria staccato" "LC" NA
"Mixophyes carbinensis" "LC" NA
"Litoria biakensis" "DD" NA
"Litoria dux" "DD" NA
"Nymphargus buenaventura" "DD" NA
"Rana hanluica" "DD" NA
"Teratohyla amelie" "DD" NA
"Pristimantis saltissimus" "LC" NA
"Brachycephalus alipioi" "DD" NA
"Nyctibatrachus sholai" "DD" NA
"Cophixalus tridactylus" "DD" NA
"Eupsophus septentrionalis" "DD" NA
"Polypedates chlorophthalmus" "DD" NA
"Craugastor chingopetaca" "DD" NA
"Theloderma truongsonense" "DD" NA
"Bokermannohyla oxente" "LC" NA
"Leptodactylus sertanejo" "LC" NA
"Gegeneophis goaensis" "DD" NA
"Phyllomedusa bahiana" "DD" NA
"Rhacophorus hui" "DD" NA
"Pseudis platensis" "DD" NA
"Rhinella alata" "DD" NA
"Rhinella veredas" "LC" NA
"Amolops daiyunensis" "NT" NA
"Ingerophrynus gollum" "DD" NA
"Litoria rivicola" "LC" NA
"Pelophylax caralitanus" "NT" NA
"Gastrotheca fulvorufa" "DD" NA
"Bokermannohyla diamantina" "DD" NA
"Leptodactylus paraensis" "LC" NA
"Cornufer adiastolus" "DD" NA
"Proceratophrys paviotii" "DD" NA
"Pristimantis colonensis" "DD" NA
"Odorrana monjerai" "DD" NA
"Pseudacris fouquettei" "LC" NA
"Ameerega yungicola" "LC" NA
"Pristimantis zoilae" "DD" NA
"Speleomantes sarrabusensis" "VU" "D2"
"Eleutherodactylus juanariveroi" "CR" "A4ac; B1ab(i,ii,iii)+2ab(i,ii,iii)"
"Cochranella phryxa" "DD" NA
"Brachycephalus pombali" "DD" NA
"Odorrana aureola" "DD" NA
"Tepuihyla phasmatus" "DD" NA
"Espadarana durrellorum" "VU" "B1ab(ii)"
"Nannophrys naeyakai" "EN" "B1ab(iii)"
"Phyllomedusa neildi" "DD" NA
"Physalaemus angrensis" "DD" NA
"Hyperolius watsonae" "CR" "B1ab(iii)+2ab(iii)"
"Leptopelis mackayi" "DD" NA
"Gastrotheca pulchra" "DD" NA
"Microhyla fissipes" "LC" NA
"Plectrohyla miahuatlanensis" "DD" NA
"Microhyla okinavensis" "LC" NA
"Bufotes zamdaensis" "DD" NA
"Frostius erythrophthalmus" "DD" NA
"Rana coreana" "LC" NA
"Peltophryne florentinoi" "CR" "B1ab(iii)"
"Litoria chrisdahli" "DD" NA
"Nymphargus wileyi" "DD" NA
"Eupsophus queulensis" "VU" "D2"
"Pseudohynobius kuankuoshuiensis" "DD" NA
"Allobates spumaponens" "DD" NA
"Dendropsophus juliani" "LC" NA
"Hyloxalus parcus" "DD" NA
"Megophrys zunhebotoensis" "DD" NA
"Hyloxalus maculosus" "DD" NA
"Hypsiboas jimenezi" "LC" NA
"Scinax peixotoi" "CR" "B2ab(ii,iii)"
"Telmatobius sanborni" "VU" "A2a; B1ab(v)"
"Atelopus pyrodactylus" "CR" "A2ac"
"Cophixalus sisyphus" "DD" NA
"Allobates subfolionidificans" "VU" "D2"
"Litoria purpureolata" "DD" NA
"Litoria spartacus" "DD" NA
"Litoria humboldtorum" "LC" NA
"Leptobrachium promustache" "DD" NA
"Nymphargus vicenteruedai" "DD" NA
"Phyllomedusa itacolomi" "DD" NA
"Ansonia endauensis" "DD" NA
"Bokermannohyla vulcaniae" "VU" "B2ab(iii)"
"Hynobius maoershanensis" "DD" NA
"Scinax cabralensis" "DD" NA
"Rhacophorus minimus" "EN" "B1ab(iii)"
"Psychrophrynella condoriri" "DD" NA
"Brachycephalus ferruginus" "DD" NA
"Scinax camposseabrai" "DD" NA
"Mixophyes balbus" "VU" "C1+2a(i)"
"Mixophyes fasciolatus" "LC" NA
"Polypedates occidentalis" "DD" NA
"Craugastor cyanochthebius" "NT" NA
"Cornufer sulcatus" "DD" NA
"Mixophyes fleayi" "EN" "B2ab(ii,iii,iv,v)"
"Mixophyes iteratus" "EN" "B2ab(ii,iii,iv,v)"
"Eleutherodactylus rogersi" "DD" NA
"Uraeotyphlus oommeni" "DD" NA
"Theloderma nagalandense" "DD" NA
"Cophixalus misimae" "DD" NA
"Nymphargus laurae" "CR" "B2ab(iii)"
"Physalaemus camacan" "DD" NA
"Leptodactylus lauramiriamae" "DD" NA
"Psychrophrynella guillei" "CR" "B1ab(iii)"
"Pseudophilautus maia" "EX" NA
"Adenomera nana" "LC" NA
"Megophrys binchuanensis" "NT" NA
"Litoria myola" "CR" "B1ab(iii)"
"Chiasmocleis mantiqueira" "DD" NA
"Odorrana gigatympana" "DD" NA
"Xenorhina macrodisca" "DD" NA
"Incilius chompipe" "VU" "D2"
"Pristimantis thyellus" "DD" NA
"Leptodactylus savagei" "LC" NA
"Oedipina tomasi" "CR" "B2ab(iii)"
"Hylophorbus rainerguentheri" "DD" NA
"Leptodactylus vastus" "LC" NA
"Cornufer nakanaiorum" "DD" NA
"Physalaemus irroratus" "DD" NA
"Litoria megalops" "DD" NA
"Litoria sauroni" "DD" NA
"Megophrys serchhipii" "DD" NA
