"scientific_name" "category" "criteria"
"Salmo schiefermuelleri" "DD" NA
"Sabanejewia caucasica" "LC" NA
"Coregonus atterensis" "VU" "D2"
"Romanogobio ciscaucasicus" "LC" NA
"Coregonus bezola" "EX" NA
"Coregonus fatioi" "LC" NA
"Squalius pamvoticus" "LC" NA
"Alosa volgensis" "EN" "B2ab(iii,v)"
"Romanogobio pentatrichus" "LC" NA
"Coregonus ladogae" "LC" NA
"Coregonus palaea" "LC" NA
"Barbus balcanicus" "LC" NA
"Gobio krymensis" "VU" "B1ab(ii,iii,v)"
"Coregonus clupeoides" "VU" "D2"
"Squalius moreoticus" "EN" "B1ab(ii,iii,v)+2ab(ii,iii,v)"
"Chondrostoma variabile" "LC" NA
"Coregonus restrictus" "EX" NA
"Gobio kubanicus" "LC" NA
"Cottus microstomus" "LC" NA
"Cottus hispaniolensis" "LC" NA
"Liopsetta glacialis" "LC" NA
"Squalius sp. nov. 'Aoos'" "NT" NA
"Cottus duranii" "DD" NA
"Salmo ferox" "DD" NA
"Coregonus suidteri" "LC" NA
"Gobio bulgaricus" "LC" NA
"Cobitis taurica" "CR" "B1ab(ii,iii)+2ab(ii,iii)"
"Alosa killarnensis" "CR" "B1ab(iii)"
"Coregonus pallasii" "LC" NA
"Barbus carpathicus" "LC" NA
"Phoxinus strandjae" "EN" "B1ab(ii,iii)"
"Squalius sp. nov. 'Evia'" "CR" "B1ab(ii,iii)+2ab(ii,iii)"
"Ballerus ballerus" "LC" NA
"Barbus pergamonensis" "LC" NA
"Cottus scaturigo" "VU" "D2"
"Alburnus sarmaticus" "EN" "B2ab(v)"
"Gasterosteus gymnurus" "LC" NA
"Salmo stomachicus" "VU" "D2"
"Thymallus arcticus" "LC" NA
"Alburnus schischkovi" "EN" "B1ab(ii,iii,v)+2ab(ii,iii,v)"
"Alburnus scoranza" "LC" NA
"Neogobius pallasi" "LC" NA
"Cobitis elongatoides" "LC" NA
"Alburnus mandrensis" "CR" "B1ab(ii,iii)"
"Coregonus candidus" "VU" "D2"
"Aphanius almiriensis" "CR" "B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)"
"Rutilus caspicus" "LC" NA
"Leuciscus bearnensis" "LC" NA
"Sabanejewia kubanica" "LC" NA
"Benthophilus nudus" "LC" NA
"Phoxinus colchicus" "LC" NA
"Dicentrarchus labrax" "LC" NA
"Barbus ciscaucasicus" "LC" NA
"Knipowitschia bergi" "LC" NA
"Alosa agone" "LC" NA
"Coregonus widegreni" "DD" NA
"Alburnus sp. nov. 'Volvi'" "NT" NA
"Clupeonella tscharchalensis" "LC" NA
"Gobio kovatschevi" "VU" "B1ab(iii,v)"
"Coregonus nobilis" "LC" NA
"Alburnoides ohridanus" "VU" "D2"
"Coregonus zugensis" "LC" NA
"Squalius squalus" "LC" NA
"Alburnus macedonicus" "CR" "A3c; B1ab(i,ii,iii)+2ab(i,ii,iii)"
"Gobio alverniae" "LC" NA
"Caspiosoma caspium" "LC" NA
"Salmo fibreni" "VU" "D2"
"Scardinius plotizza" "LC" NA
"Barbus rebeli" "LC" NA
"Barbus bergi" "LC" NA
"Coregonus fera" "EX" NA
"Coregonus heglingus" "DD" NA
"Barbatula zetensis" "LC" NA
"Rutilus panosi" "VU" "D2"
"Coregonus alpinus" "LC" NA
"Coregonus danneri" "VU" "D2"
"Alburnus mento" "LC" NA
"Rhodeus amarus" "LC" NA
"Romanogobio antipai" "EX" NA
"Gasterosteus crenobiontus" "EX" NA
"Squalius orpheus" "LC" NA
"Ballerus sapa" "LC" NA
"Coregonus vandesius" "EN" "B1ab(iii)+2ab(iii)"
"Alburnus volviticus" "EN" "B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)"
"Coregonus wartmanni" "LC" NA
"Salmo ezenami" "CR" "B1ab(iii,v)+2ab(iii,v)"
"Alburnus leobergi" "LC" NA
"Gobio holurus" "LC" NA
"Oxynoemacheilus theophilii" "LC" NA
"Cottus rondeleti" "CR" "B1ab(ii,iii)+2ab(ii,iii)"
"Squalius malacitanus" "EN" "B1ab(ii,iii,v)+2ab(ii,iii,v)"
"Leuciscus danilewskii" "LC" NA
"Gobio obtusirostris" "LC" NA
"Romanogobio vladykovi" "LC" NA
"Salmo nigripinnis" "VU" "D2"
"Benthophilus mahmudbejovi" "LC" NA
"Sabanejewia baltica" "LC" NA
"Benthophilus macrocephalus" "LC" NA
"Barbus sperchiensis" "NT" NA
"Salmo labrax" "LC" NA
"Gobio skadarensis" "EN" "B1ab(ii,iii)+2ab(ii,iii)"
"Osmerus dentex" "LC" NA
"Sabanejewia balcanica" "LC" NA
"Knipowitschia radovici" "VU" "D2"
"Coregonus macrophthalmus" "LC" NA
"Barbus kubanicus" "LC" NA
"Coregonus muksun" "LC" NA
"Gasterosteus islandicus" "LC" NA
"Pungitius laevis" "LC" NA
"Romanogobio belingi" "LC" NA
"Alburnus thessalicus" "LC" NA
"Alburnus arborella" "LC" NA
"Coregonus hiemalis" "EX" NA
"Coregonus maraena" "VU" "A2cd"
"Percarina maeotica" "LC" NA
"Coregonus megalops" "LC" NA
"Squalius laietanus" "LC" NA
"Gobio lozanoi" "LC" NA
"Squalius valentinus" "VU" "B1ab(ii,iii,v)"
"Phoxinus lumaireul" "LC" NA
"Benthophilus leobergius" "LC" NA
"Benthophilus granulosus" "LC" NA
"Achondrostoma occidentale" "EN" "B1ab(iii)+2ab(iii)"
"Luciobarbus brachycephalus" "VU" "A2cd"
"Cottus metae" "LC" NA
"Coregonus lucinensis" "VU" "D2"
"Luciobarbus capito" "VU" "A2cd"
"Coregonus fontanae" "LC" NA
"Chelon labrosus" "LC" NA
"Coregonus lutokka" "LC" NA
"Salmo taleri" "DD" NA
"Coregonus zuerichensis" "LC" NA
"Romanogobio tanaiticus" "LC" NA
"Squalius tenellus" "EN" "B1ab(ii,iii)+2ab(ii,iii)"
"Abramis brama" "LC" NA
"Rhodeus meridionalis" "LC" NA
"Coregonus bavaricus" "CR" "B1ab(iii,v)+2ab(iii,v)"
"Cobitis tanaitica" "LC" NA
"Cobitis pontica" "LC" NA
"Coregonus stigmaticus" "EN" "B2ab(ii,iii,v)"
"Coregonus pollan" "EN" "B1ab(iii)+2ab(iii)"
"Barbus petenyi" "LC" NA
"Clupeonella caspia" "LC" NA
"Salmo pelagonicus" "VU" "B1ab(v)"
"Cottus rhenanus" "LC" NA
"Leuciscus oxyrrhis" "LC" NA
"Cobitis illyrica" "CR" "B1ab(ii,iii)"
"Coregonus confusus" "VU" "D2"
"Coregonus albellus" "LC" NA
"Cottus aturi" "LC" NA
"Platichthys flesus" "LC" NA
"Phoxinus strymonicus" "EN" "B1ab(iii)"
"Salvelinus sp. nov. 'Fjellfr繪svatn'" "VU" "D2"
"Pelasgus marathonicus" "NT" NA
"Rutilus virgo" "LC" NA
"Romanogobio parvus" "LC" NA
"Mistichthys luzonensis" "NT" NA
"Mogurnda furva" "CR" "B1ab(iii)"
"Mogurnda lineata" "NT" NA
"Mogurnda orientalis" "NT" NA
"Mogurnda spilota" "VU" "A2cd"
"Mogurnda variegata" "CR" "B1ab(iii)"
"Mogurnda vitta" "VU" "A2cd"
"Monopterus indicus" "VU" "B2ab(iii)"
"Mugilogobius latifrons" "VU" "D2"
"Mugilogobius adeia" "VU" "D2"
"Myaka myaka" "CR" "B1ab(iii)+2ab(iii)"
"Myxus capensis" "LC" NA
"Nannatherina balstoni" "DD" NA
"Nannoperca oxleyana" "EN" "A1ce+2c"
"Nannoperca variegata" "VU" "D2"
"Nemacheilus troglocataractus" "CR" "B1ab(iii,v)+2ab(iii,v)"
"Barbatula barbatula" "LC" NA
"Nematogenys inermis" "DD" NA
"Neogobius fluviatilis" "LC" NA
"Neogobius melanostomus" "LC" NA
"Neolissochilus theinemanni" "VU" "D2"
"Notropis aguirrepequenoi" "VU" "A1ace+2ce, B1+2ab, D2"
"Notropis amecae" "EX" NA
"Notropis aulidion" "EX" NA
"Notropis imeldae" "VU" "C2b, D2"
"Notropis moralesi" "CR" "C2b"
"Notropis saladonis" "EX" NA
"Ogilbia galapagosensis" "VU" "D2"
"Oloplotosus torobo" "VU" "A2cd"
"Oncorhynchus apache" "CR" "A1cd"
"Oncorhynchus chrysogaster" "VU" "A2ce"
"Oncorhynchus gilae" "EN" "B2ad+3c"
"Oncorhynchus iwame" "DD" NA
"Oncorhynchus formosanus" "CR" "B1+2d"
"Ophisternon candidum" "DD" NA
"Ophisternon infernale" "EN" "A1ac+2c, B1+2c"
"Oreochromis esculentus" "CR" "A2bcde"
"Oreochromis variabilis" "CR" "B1ab(i,ii,iii,iv,v)"
"Oreoglanis siamensis" "EN" "B1ab(i,iii)"
"Alcichthys elongatus" "LC" NA
"Amblygobius tekomaji" "LC" NA
"Foa madagascariensis" "DD" NA
"Cheilinus trilobatus" "LC" NA
"Paraliparis plagiostomus" "DD" NA
"Helcogramma striata" "LC" NA
"Cnidoglanis macrocephalus" "DD" NA
"Uropterygius fuscoguttatus" "LC" NA
"Canthigaster inframacula" "LC" NA
"Citharichthys gymnorhinus" "LC" NA
"Uranoscopus oligolepis" "LC" NA
"Johnsonina eriomma" "LC" NA
"Callionymus leucobranchialis" "DD" NA
"Gobiesox canidens" "VU" "D2"
"Gobiodon histrio" "LC" NA
"Thalassenchelys foliaceus" "DD" NA
"Parenchelyurus hepburni" "LC" NA
"Careproctus herwigi" "DD" NA
"Coelorinchus occa" "LC" NA
"Ancylopsetta kumperae" "DD" NA
"Bathygobius aeolosoma" "LC" NA
"Bathygobius lineatus" "VU" "D2"
"Thamnaconus melanoproctes" "DD" NA
"Spicara axillaris" "LC" NA
"Bathycongrus retrotinctus" "DD" NA
"Bathyuroconger vicinus" "LC" NA
"Balistes rotundatus" "LC" NA
"Apogon sealei" "LC" NA
"Dentex barnardi" "LC" NA
"Arnoglossus imperialis" "LC" NA
"Apogon semilineatus" "DD" NA
"Coelorinchus velifer" "DD" NA
"Blennodesmus scapularis" "LC" NA
"Xyrichtys martinicensis" "LC" NA
"Enneapterygius namarrgon" "EN" "B1ab(iii)"
"Pseudolabrus luculentus" "LC" NA
"Bathydraco joannae" "LC" NA
"Coryphaena hippurus" "LC" NA
"Stathmonotus sinuscalifornici" "LC" NA
"Paracheilinus togeanensis" "LC" NA
"Suezichthys bifurcatus" "DD" NA
"Melletes papilio" "LC" NA
"Caulolatilus williamsi" "DD" NA
"Bathypterois oddi" "DD" NA
"Amphistichus koelzi" "LC" NA
"Diaphus rafinesquii" "LC" NA
"Atherinella serrivomer" "LC" NA
"Callionymus comptus" "VU" "B1ab(iii)"
"Cynoglossus maccullochi" "DD" NA
"Akarotaxis nudiceps" "LC" NA
"Lutjanus notatus" "LC" NA
"Coilia neglecta" "LC" NA
"Trimma fraena" "LC" NA
"Oneirodes epithales" "DD" NA
"Heteroconger taylori" "DD" NA
"Hypleurochilus bananensis" "LC" NA
"Callionymus platycephalus" "DD" NA
"Astrabe fasciata" "DD" NA
"Chromis alpha" "LC" NA
"Chlopsis kazuko" "DD" NA
"Axoclinus multicinctus" "VU" "D2"
"Ancylopsetta cycloidea" "LC" NA
"Xestochilus nebulosus" "LC" NA
"Silhouettea evanida" "DD" NA
"Anoplocapros inermis" "LC" NA
"Emblemariopsis signifer" "LC" NA
"Oreonectes anophthalmus" "VU" "D2"
"Artedielloides auriculatus" "NT" NA
"Pleuragramma antarctica" "LC" NA
"Amblyeleotris callopareia" "DD" NA
"Hemitaurichthys thompsoni" "LC" NA
"Triglops forficatus" "LC" NA
"Chaenopsis coheni" "DD" NA
"Thalassobathia pelagica" "LC" NA
"Talismania mekistonema" "LC" NA
"Venefica tentaculata" "LC" NA
"Caranx crysos" "LC" NA
"Apolemichthys kingi" "LC" NA
"Amphiprion sandaracinos" "LC" NA
"Aphanopus mikhailini" "LC" NA
"Astronesthes richardsoni" "LC" NA
"Malacoctenus zonogaster" "VU" "D2"
"Alepisaurus ferox" "LC" NA
"Psednos andriashevi" "DD" NA
"Umbrina broussonnetii" "LC" NA
"Parablennius yatabei" "LC" NA
"Chromis punctipinnis" "LC" NA
"Gymnapogon melanogaster" "DD" NA
"Bothus mancus" "LC" NA
"Helcogramma inclinata" "LC" NA
"Cabillus macrophthalmus" "DD" NA
"Nemaclinus atelestos" "LC" NA
"Bollmannia stigmatura" "DD" NA
"Dotalabrus alleni" "LC" NA
"Tomicodon rhabdotus" "LC" NA
"Barbuligobius boehlkei" "LC" NA
"Citharichthys mariajorisae" "LC" NA
"Helcogramma springeri" "LC" NA
"Careproctus cactiformis" "DD" NA
"Chromis pembae" "LC" NA
"Cirrhilabrus rhomboidalis" "DD" NA
"Ctenogobius thoropsis" "LC" NA
"Apogon compressus" "LC" NA
"Aioliops brachypterus" "VU" "B1ab(iii)"
"Apodocreedia vanderhorsti" "DD" NA
"Bathymaster derjugini" "DD" NA
"Synclidopus macleayanus" "DD" NA
"Psednos harteli" "DD" NA
"Cirrhilabrus lineatus" "LC" NA
"Alepocephalus owstoni" "LC" NA
"Chelidonichthys kumu" "LC" NA
"Uropterygius wheeleri" "LC" NA
"Xenomystax trucidans" "DD" NA
"Halichoeres ornatissimus" "LC" NA
"Brama dussumieri" "LC" NA
"Cetomimus teevani" "LC" NA
"Orestias cuvieri" "DD" NA
"Apogon neotes" "LC" NA
"Coelorinchus aratrum" "DD" NA
"Apogon fleurieu" "LC" NA
"Teixeirichthys jordani" "LC" NA
"Chaenophryne longiceps" "LC" NA
"Ateleopus japonicus" "LC" NA
"Orestias chungarensis" "VU" "D2"
"Chrysiptera flavipinnis" "LC" NA
"Xenopoclinus leprosus" "LC" NA
"Entomacrodus macrospilus" "LC" NA
"Antigonia combatia" "LC" NA
"Benthocometes robustus" "LC" NA
"Orestias laucaensis" "NT" NA
"Batrachoides surinamensis" "LC" NA
"Tetrosomus gibbosus" "LC" NA
"Congrogadus winterbottomi" "DD" NA
"Anacanthus barbatus" "LC" NA
"Chaunax flammeus" "LC" NA
"Apterichtus kendalli" "LC" NA
"Orestias parinacotensis" "DD" NA
"Heteroclinus whiteleggii" "LC" NA
"Scomberomorus queenslandicus" "LC" NA
"Ecsenius trilineatus" "LC" NA
"Astronesthes indopacificus" "LC" NA
"Acyrtops amplicirrus" "LC" NA
"Apogonichthys ocellatus" "LC" NA
"Thalassoma lucasanum" "LC" NA
"Hypsoblennius striatus" "NT" NA
"Heteroclinus roseus" "LC" NA
"Bryaninops amplus" "LC" NA
"Coelorinchus mycterismus" "LC" NA
"Acreichthys hajam" "DD" NA
"Thamnaconus fijiensis" "DD" NA
"Amblygobius buanensis" "LC" NA
"Kuronezumia bubonis" "LC" NA
"Trachinotus goodei" "LC" NA
"Bassozetus robustus" "LC" NA
"Xanthichthys mento" "LC" NA
"Anchoa delicatissima" "LC" NA
"Bahaba chaptis" "DD" NA
"Chirodactylus jessicalenorum" "LC" NA
"Paraclinus magdalenae" "EN" "B1ab(iii)"
"Acanthistius brasilianus" "DD" NA
"Calamopteryx jeb" "LC" NA
"Plectranthias pallidus" "DD" NA
"Diaphus holti" "LC" NA
"Calumia godeffroyi" "LC" NA
"Bregmaceros atlanticus" "LC" NA
"Argyropelecus hemigymnus" "LC" NA
"Apogon notatus" "LC" NA
"Chalixodytes tauensis" "LC" NA
"Bovichtus chilensis" "LC" NA
"Astronesthes nigroides" "LC" NA
"Congrogadus amplimaculatus" "DD" NA
"Coloconger japonicus" "DD" NA
"Coris caudimacula" "LC" NA
"Torquigener tuberculiferus" "LC" NA
"Allomycterus pilatus" "DD" NA
"Centropyge acanthops" "LC" NA
"Careproctus minimus" "DD" NA
"Champsodon capensis" "LC" NA
"Parablennius parvicornis" "LC" NA
"Omobranchus fasciolatus" "LC" NA
"Alectis ciliaris" "LC" NA
"Artediellichthys nigripinnis" "LC" NA
"Labroides phthirophagus" "LC" NA
"Cociella punctata" "LC" NA
"Calliclinus nudiventris" "LC" NA
"Anchoa walkeri" "LC" NA
"Uranoscopus polli" "LC" NA
"Clinocottus globiceps" "LC" NA
"Callionymus sagitta" "LC" NA
"Cantheschenia longipinnis" "LC" NA
"Amphichthys cryptocentrus" "LC" NA
"Sarda sarda" "LC" NA
"Caesio caerulaurea" "LC" NA
"Chromis flavicauda" "DD" NA
"Omobranchus anolius" "LC" NA
"Artedidraco glareobarbatus" "LC" NA
"Salarias ceramensis" "LC" NA
"Macroramphosus scolopax" "LC" NA
"Callionymus whiteheadi" "DD" NA
"Careproctus mederi" "DD" NA
"Cirrhilabrus rubripinnis" "LC" NA
"Cheilodipterus singapurensis" "LC" NA
"Halichoeres melas" "DD" NA
"Dactyloscopus zelotes" "DD" NA
"Crossosalarias macrospilus" "LC" NA
"Cheilopogon pinnatibarbatus" "LC" NA
"Platycephalus indicus" "DD" NA
"Caulolatilus hubbsi" "LC" NA
"Omobranchus rotundiceps" "LC" NA
"Praealticus dayi" "LC" NA
"Caulolatilus dooleyi" "DD" NA
"Congiopodus torvus" "LC" NA
"Stemonosudis gracilis" "LC" NA
"Buglossidium luteum" "LC" NA
"Apogon margaritophorus" "LC" NA
"Cocotropus roseus" "LC" NA
"Lethrinus conchyliatus" "LC" NA
"Callogobius clitellus" "LC" NA
"Paraclinus integripinnis" "LC" NA
"Clupea harengus" "LC" NA
"Amblyeleotris triguttata" "LC" NA
"Uranoscopus japonicus" "LC" NA
"Apsilus dentatus" "LC" NA
"Gillellus healae" "LC" NA
"Remora brachyptera" "LC" NA
"Caranx sexfasciatus" "LC" NA
"Conger verreauxi" "LC" NA
"Bathycongrus vicinalis" "LC" NA
"Alepes vari" "LC" NA
"Remora albescens" "LC" NA
"Callionymus macclesfieldensis" "DD" NA
"Halichoeres notospilus" "LC" NA
"Chascanopsetta crumenalis" "DD" NA
"Antipodocottus galatheae" "LC" NA
"Myripristis trachyacron" "LC" NA
"Brachirus sorsogonensis" "DD" NA
"Anampses melanurus" "LC" NA
"Arnoglossus brunneus" "DD" NA
"Prognatholiparis ptychomandibularis" "DD" NA
"Apogon rubrimacula" "LC" NA
"Atherion elymus" "LC" NA
"Chirolophis snyderi" "DD" NA
"Lepidonectes corallicola" "VU" "D2"
"Atrobucca kyushini" "DD" NA
"Trachinotus rhodopus" "LC" NA
"Chilomycterus schoepfii" "LC" NA
"Malacoctenus macropus" "LC" NA
"Asarcenchelys longimanus" "DD" NA
"Neoclinus uninotatus" "LC" NA
"Pomadasys incisus" "LC" NA
"Cirripectes filamentosus" "LC" NA
"Callechelys bitaeniata" "LC" NA
"Sicydium plumieri" "DD" NA
"Coradion melanopus" "LC" NA
"Cirripectes alleni" "LC" NA
"Centropogon latifrons" "DD" NA
"Talismania bifurcata" "LC" NA
"Caulolatilus affinis" "LC" NA
"Brachysomophis longipinnis" "DD" NA
"Synodus saurus" "LC" NA
"Chaetodon sedentarius" "LC" NA
"Halichoeres papilionaceus" "LC" NA
"Arnoglossus rueppelii" "LC" NA
"Acromycter perturbator" "LC" NA
"Austroglossus microlepis" "DD" NA
"Enneapterygius abeli" "LC" NA
"Halichoeres binotopsis" "LC" NA
"Branchiostegus semifasciatus" "LC" NA
"Thryssa mystax" "LC" NA
"Branchiostegus japonicus" "LC" NA
"Starksia guttata" "LC" NA
"Dentex congoensis" "LC" NA
"Araiophos eastropas" "DD" NA
"Pseudojuloides kaleidos" "LC" NA
"Coelorinchus shcherbachevi" "DD" NA
"Cheilopogon rapanouiensis" "LC" NA
"Strongylura marina" "LC" NA
"Benthosema pterotum" "LC" NA
"Brachypleura novaezeelandiae" "LC" NA
"Paraclinus rubicundus" "LC" NA
"Ariosoma selenops" "LC" NA
"Scatophagus argus" "LC" NA
"Entomacrodus stellifer" "LC" NA
"Apogon wassinki" "LC" NA
"Thunnus atlanticus" "LC" NA
"Antennarius analis" "LC" NA
"Coelophrys arca" "DD" NA
"Antimora microlepis" "DD" NA
"Anchoviella brevirostris" "LC" NA
"Apocryptodon punctatus" "LC" NA
"Careproctus pallidus" "DD" NA
"Bathylaco macrophthalmus" "DD" NA
"Centropyge loricula" "LC" NA
"Atherinomorus stipes" "LC" NA
"Tomicodon australis" "LC" NA
"Canthigaster leoparda" "LC" NA
"Pseudocheilinus ocellatus" "LC" NA
"Serranus atricauda" "DD" NA
"Nannobrachium gibbsi" "LC" NA
"Helcogramma decurrens" "LC" NA
"Acanthistius ocellatus" "LC" NA
"Crocodilichthys gracilis" "LC" NA
"Oryzias marmoratus" "VU" "D2"
"Oryzias matanensis" "VU" "D2"
"Oryzias nigrimas" "VU" "A2e, D2"
"Oryzias orthognathus" "EN" "A2e"
"Oryzias profundicola" "VU" "D2"
"Oryzias celebensis" "VU" "D2"
"Osmerus eperlanus" "LC" NA
"Barbodes palaemophagus" "EN" "A1ce"
"Barbodes truncatulus" "CR" "A1ce"
"Oxyeleotris wisselensis" "DD" NA
"Cochlefelis insidiator" "DD" NA
"Salarias sinuosus" "LC" NA
"Padogobius nigricans" "VU" "B2ab(ii,iii,iv,v)"
"Pandaka pygmaea" "CR" "A1ace"
"Pangasianodon gigas" "CR" "A4abcd"
"Pangasius sanitwongsei" "CR" "A2acd"
"Favonigobius melanobranchus" "NT" NA
"Paragalaxias mesotes" "VU" "D2"
"Haplochromis beadlei" "CR" "A1ace, B1+2cd"
"Haplochromis crassilabris" "CR" "C2a(ii)"
"Parambassis altipinnis" "DD" NA
"Paratherina cyanea" "VU" "D2"
"Paratherina labiosa" "VU" "D2"
"Paratherina striata" "VU" "D2"
"Paratherina wolterecki" "VU" "D2"
"Pardiglanis tarabinii" "DD" NA
"Parosphromenus harveyi" "EN" "B1+2c"
"Pelecus cultratus" "LC" NA
"Garra annandalei" "LC" NA
"Glyptothorax poonaensis" "EN" "B2ab(i,ii,iii,iv)"
"Labeo kawrus" "LC" NA
"Schismatorhynchos nukta" "EN" "A2acd+3cd"
"Erethistoides senkhiensis" "DD" NA
"Chaetodon falcula" "LC" NA
"Heniochus pleurotaenia" "LC" NA
"Chaetodon larvatus" "LC" NA
"Chaetodon leucopleura" "LC" NA
"Chaetodon ocellatus" "LC" NA
"Chaetodon zanzibarensis" "LC" NA
"Prognathodes brasiliensis" "LC" NA
"Roa jayakari" "LC" NA
"Chaetodon mertensii" "LC" NA
"Chelmon marginalis" "LC" NA
"Hemitaurichthys multispinosus" "LC" NA
"Chaetodon mesoleucos" "LC" NA
"Chaetodon guttatissimus" "LC" NA
"Chaetodon burgessi" "LC" NA
"Prognathodes aya" "LC" NA
"Heniochus singularius" "LC" NA
"Chaetodon octofasciatus" "LC" NA
"Chaetodon triangulum" "LC" NA
"Chaetodon paucifasciatus" "LC" NA
"Heniochus acuminatus" "LC" NA
"Prognathodes aculeatus" "LC" NA
"Chaetodon kleinii" "LC" NA
"Chaetodon vagabundus" "LC" NA
"Chaetodon auriga" "LC" NA
"Chaetodon punctatofasciatus" "LC" NA
"Johnrandallia nigrirostris" "LC" NA
"Chaetodon austriacus" "LC" NA
"Chaetodon humeralis" "LC" NA
"Chaetodon nippon" "LC" NA
"Chaetodon striatus" "LC" NA
"Chaetodon meyeri" "LC" NA
"Roa excelsa" "LC" NA
"Heniochus chrysostomus" "LC" NA
"Chaetodon ornatissimus" "LC" NA
"Chaetodon madagaskariensis" "LC" NA
"Chaetodon selene" "LC" NA
"Prognathodes guezei" "DD" NA
"Prognathodes guyotensis" "DD" NA
"Prognathodes guyanensis" "LC" NA
"Chaetodon pictus" "LC" NA
"Chaetodon decussatus" "LC" NA
"Chaetodon gardineri" "LC" NA
"Heniochus monoceros" "LC" NA
"Chaetodon lunula" "LC" NA
"Heniochus varius" "LC" NA
"Chaetodon pelewensis" "LC" NA
"Chaetodon dolosus" "LC" NA
"Chaetodon multicinctus" "LC" NA
"Chaetodon xanthurus" "LC" NA
"Chaetodon plebeius" "LC" NA
"Prognathodes carlhubbsi" "NT" NA
"Chelmon rostratus" "LC" NA
"Chelmon muelleri" "LC" NA
"Parachaetodon ocellatus" "LC" NA
"Chaetodon fremblii" "LC" NA
"Chaetodon argentatus" "LC" NA
"Chaetodon oxycephalus" "LC" NA
"Chaetodon ulietensis" "LC" NA
"Chaetodon mitratus" "LC" NA
"Forcipiger longirostris" "LC" NA
"Chaetodon citrinellus" "LC" NA
"Chaetodon lineolatus" "LC" NA
"Chaetodon semilarvatus" "LC" NA
"Chaetodon xanthocephalus" "LC" NA
"Hemitaurichthys polylepis" "LC" NA
"Chaetodon trifasciatus" "LC" NA
"Prognathodes marcellae" "LC" NA
"Chaetodon smithi" "LC" NA
"Chaetodon ocellicaudus" "DD" NA
"Roa modestus" "LC" NA
"Chaetodon quadrimaculatus" "LC" NA
"Chaetodon trichrous" "LC" NA
"Chaetodon rafflesii" "LC" NA
"Chaetodon ephippium" "LC" NA
"Amphichaetodon howensis" "LC" NA
"Heniochus diphreutes" "LC" NA
"Chaetodon interruptus" "LC" NA
"Chaetodon wiebeli" "LC" NA
"Chaetodon bennetti" "DD" NA
"Chaetodon tricinctus" "LC" NA
"Chaetodon flavirostris" "LC" NA
"Chaetodon melannotus" "LC" NA
"Prognathodes dichrous" "LC" NA
"Heniochus intermedius" "LC" NA
"Chaetodon baronessa" "LC" NA
"Chaetodon auripes" "LC" NA
"Chaetodon speculum" "LC" NA
"Chaetodon capistratus" "LC" NA
"Chaetodon nigropunctatus" "LC" NA
"Coradion altivelis" "LC" NA
"Chaetodon tinkeri" "LC" NA
"Chaetodon daedalma" "LC" NA
"Chaetodon hoefleri" "LC" NA
"Prognathodes falcifer" "LC" NA
"Coradion chrysozonus" "LC" NA
"Chaetodon aureofasciatus" "LC" NA
"Chaetodon lunulatus" "LC" NA
"Chaetodon fasciatus" "LC" NA
"Chelmonops curiosus" "LC" NA
"Chaetodon andamanensis" "DD" NA
"Chaetodon declivis" "LC" NA
"Chaetodon blackburnii" "LC" NA
"Chaetodon assarius" "LC" NA
"Chaetodon adiergastos" "LC" NA
"Chaetodon trifascialis" "NT" NA
"Chaetodon reticulatus" "DD" NA
"Chaetodon unimaculatus" "LC" NA
"Chaetodon sanctaehelenae" "LC" NA
"Forcipiger flavissimus" "LC" NA
"Chaetodon rainfordi" "NT" NA
"Chaetodon guentheri" "LC" NA
"Hemitaurichthys zoster" "LC" NA
"Chelmonops truncatus" "LC" NA
"Chaetodon miliaris" "LC" NA
"Chaetodon collare" "LC" NA
"Chaetodon melapterus" "LC" NA
"Chaetodon semeion" "LC" NA
"Chaetodon dialeucos" "LC" NA
"Amphichaetodon melbae" "DD" NA
"Perca fluviatilis" "LC" NA
"Percichthys melanops" "DD" NA
"Apolemichthys griffisi" "LC" NA
"Centropyge nahackyi" "NT" NA
"Centropyge boylei" "LC" NA
"Holacanthus africanus" "LC" NA
"Chaetodontoplus chrysocephalus" "LC" NA
"Genicanthus takeuchii" "LC" NA
"Centropyge fisheri" "LC" NA
"Pomacanthus xanthometopon" "LC" NA
"Percilia gillissi" "DD" NA
"Centropyge hotumatua" "LC" NA
"Pomacanthus chrysurus" "LC" NA
"Holacanthus bermudensis" "LC" NA
"Pomacanthus maculosus" "LC" NA
"Apolemichthys arcuatus" "LC" NA
"Apolemichthys trimaculatus" "LC" NA
"Holacanthus limbaughi" "NT" NA
"Centropyge argi" "LC" NA
"Centropyge colini" "LC" NA
"Pomacanthus asfur" "LC" NA
"Percilia irwini" "DD" NA
"Pomacanthus sexstriatus" "LC" NA
"Apolemichthys xanthopunctatus" "LC" NA
"Pomacanthus rhomboides" "LC" NA
"Genicanthus melanospilos" "LC" NA
"Apolemichthys xanthurus" "LC" NA
"Genicanthus caudovittatus" "LC" NA
"Genicanthus spinus" "LC" NA
"Chaetodontoplus ballinae" "LC" NA
"Centropyge heraldi" "LC" NA
"Centropyge ferrugata" "LC" NA
"Chaetodontoplus melanosoma" "LC" NA
