"","auto_id","Scientific.name.species","taxon_name_species","taxon_name_infraspecies","TBN學名_infraspecies","name_c.x","name_e","category","criteria","adjusting","taxon_group","name_code","taxon_rank","tp_tid","ra_tid","taibnet_namecode","uuid","rank","class","class_c","order","order_c","family","family_c","genus","genus_c","name_c.y","is_endemic","is_alien","is_protected"
"26",26,"Odorrana swinhoana","Odorrana swinhoana","Odorrana swinhoana","Odorrana swinhoana","斯文豪氏赤蛙",NA,"NLC"," "," ","amphibian","416663","species",416663,416663,416663,"7bbcda01-2d82-4894-b571-26d33affc4d7","species","Amphibia","兩生綱","Anura","無尾目","Ranidae","赤蛙科","Odorrana","臭蛙屬","斯文豪氏赤蛙","Y"," "," "
"27",27,"Pseudoamolops sauteri","Rana sauteri","Rana sauteri","Pseudoamolops sauteri","梭德氏赤蛙",NA,"NLC"," "," ","amphibian","380038","species",380038,380038,380038,"7c5aabc4-90cc-442a-b4de-ce382cc2bb48","species","Amphibia","兩生綱","Anura","無尾目","Ranidae","赤蛙科","Pseudoamolops","赤蛙屬","梭德氏赤蛙"," "," "," "
"28",28,"Buergeria japonica","Buergeria japonica","Buergeria japonica","Buergeria japonica","日本樹蛙",NA,"NLC"," "," ","amphibian","380043","species",380043,380043,380043,"568ba3b8-0071-4ed7-b3ac-a6a9cb791873","species","Amphibia","兩生綱","Anura","無尾目","Rhacophoridae","樹蛙科","Buergeria","溪樹蛙屬","日本樹蛙"," "," "," "
"29",29,"Buergeria robusta","Buergeria robusta","Buergeria robusta","Buergeria robusta","褐樹蛙",NA,"NLC"," "," ","amphibian","380044","species",380044,380044,380044,"4eecc993-1f40-4c39-a245-4943530e4fb7","species","Amphibia","兩生綱","Anura","無尾目","Rhacophoridae","樹蛙科","Buergeria","溪樹蛙屬","褐樹蛙","Y"," "," "
"30",30,"Kurixalus idiootocus","Kurixalus idiootocus","Kurixalus idiootocus","Kurixalus idiootocus","面天樹蛙",NA,"NLC"," "," ","amphibian","380046","species",380046,380046,380046,"483cec07-4b28-4ddb-a0a6-13788def5ec5","species","Amphibia","兩生綱","Anura","無尾目","Rhacophoridae","樹蛙科","Kurixalus","原指樹蛙屬","面天樹蛙","Y"," "," "
"31",31,"Polypedates braueri","Polypedates braueri","Polypedates braueri","Polypedates braueri","布氏樹蛙",NA,"NLC"," "," ","amphibian","422106","species",422106,422106,422106,"54423ea5-09c1-4e01-abae-24cece5c3918","species","Amphibia","兩生綱","Anura","無尾目","Rhacophoridae","樹蛙科","Polypedates","泛樹蛙屬","布氏樹蛙"," "," "," "
"32",32,"Rhacophorus moltrechti","Rhacophorus moltrechti","Rhacophorus moltrechti","Rhacophorus moltrechti","莫氏樹蛙",NA,"NLC"," "," ","amphibian","380050","species",380050,380050,380050,"174930ef-4c05-4db5-801d-700f00bcf311","species","Amphibia","兩生綱","Anura","無尾目","Rhacophoridae","樹蛙科","Rhacophorus","樹蛙屬","莫氏樹蛙","Y"," "," "
"33",33,"Microhyla butleri","Microhyla butleri","Microhyla butleri","Microhyla butleri","巴氏小雨蛙",NA,"NDD"," "," ","amphibian","380025","species",380025,380025,380025,"a0499d8b-42ee-4fd4-ab4a-f60138d4ed07","species","Amphibia","兩生綱","Anura","無尾目","Microhylidae","狹口蛙科","Microhyla","姬蛙屬","巴氏小雨蛙"," "," "," "
"34",34,"Kurixalus berylliniris","Kurixalus berylliniris","Kurixalus berylliniris","Kurixalus berylliniris","碧眼樹蛙",NA,"NDD"," "," ","amphibian","431333","species",431333,431333,431333,"84826748-ecfd-475a-bf7a-f094c7a46dd6","species","Amphibia","兩生綱","Anura","無尾目","Rhacophoridae","樹蛙科","Kurixalus","原指樹蛙屬","碧眼樹蛙"," "," "," "
"35",35,"Kurixalus eiffingeri","Kurixalus eiffingeri","Kurixalus eiffingeri","Kurixalus eiffingeri","艾氏樹蛙",NA,"NDD"," "," ","amphibian","380045","species",380045,380045,380045,"ec171c0f-c458-4949-90d2-8a69dfa073c6","species","Amphibia","兩生綱","Anura","無尾目","Rhacophoridae","樹蛙科","Kurixalus","原指樹蛙屬","艾氏樹蛙"," "," "," "
"36",36,"Kurixalus wangi","Kurixalus wangi","Kurixalus wangi","Kurixalus wangi","王氏樹蛙",NA,"NDD"," "," ","amphibian","431334","species",431334,431334,431334,"ed69e7ab-386d-4f2c-9d4a-dc4b22e04209","species","Amphibia","兩生綱","Anura","無尾目","Rhacophoridae","樹蛙科","Kurixalus","原指樹蛙屬","王氏樹蛙"," "," "," "
"37",37,"Fejervarya cancrivora","Fejervarya cancrivora","Fejervarya cancrivora","Fejervarya cancrivora","海蛙",NA,"NDD"," "," ","amphibian","416423","species",416423,416423,416423,"548afc00-41bb-4980-9cc1-8bbdd9e5860e","species","Amphibia","兩生綱","Anura","無尾目","Dicroglossidae","叉舌蛙科","Fejervarya","陸蛙屬","海蛙"," ","Y"," "
"38",38,"Aythya baeri","Aythya baeri","Aythya baeri","Aythya baeri","青頭潛鴨",NA,"NCR","D"," ","bird","380074","species",380074,380074,380074,"88627d2d-13c6-4f89-976e-a31805d01c90","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Aythya","潛鴨屬","青頭潛鴨"," "," "," "
"39",39,"Phasianus colchicus","Phasianus colchicus","Phasianus colchicus formosanus","Phasianus colchicus formosanus","環頸雉",NA,"NCR","C2a(ii)"," ","bird","380290","infraspecies",1025193,1025193,NA,"0fb91a1c-ded5-47cc-882e-fba220e03c26","species","Aves","鳥綱","Galliformes","雞形目","Phasianidae","雉科","Phasianus","雉屬","環頸雉"," "," "," "
