"","result.scientific_name","result.category","result.criteria"
"23097","Crocidura pergrisea","DD"," "
"23098","Crocidura shantungensis","LC"," "
"23099","Crocidura susiana","DD"," "
"23100","Crocidura tenuis","DD"," "
"23101","Crocidura bottegoides","EN","B2ab(ii,iii)"
"23102","Crocidura elgonius","LC"," "
"23103","Crocidura erica","DD"," "
"23104","Crocidura fischeri","DD"," "
"23105","Crocidura foxi","LC"," "
"23106","Crocidura harenna","CR","B1ab(ii,iii)+2ab(ii,iii)"
"23107","Crocidura macmillani","NT"," "
"23108","Crocidura macowi","DD"," "
"23109","Crocidura pitmani","DD"," "
"23110","Crocidura ultima","DD"," "
"23111","Crocidura zimmeri","DD"," "
"23112","Crossomys moncktoni","LC"," "
"23113","Crunomys fallax","DD"," "
"23114","Cryptomys hottentotus","LC"," "
"23115","Ctenomys boliviensis","LC"," "
"23116","Ctenomys mendocinus","LC"," "
"23117","Ctenomys torquatus","LC"," "
"23118","Cynomys ludovicianus","LC"," "
"23119","Dasymys incomtus","LC"," "
"23120","Dasymys montanus","EN","B1ab(iii)"
"23121","Dasymys rufulus","LC"," "
"23122","Delanymys brooksi","VU","B1ab(iii)"
"23123","Delomys dorsalis","LC"," "
"23124","Dendromus messorius","LC"," "
"23125","Dendromus mystacalis","LC"," "
"23126","Dendromus nyikae","LC"," "
"23127","Dendromus oreas","LC"," "
"23128","Dendromus vernayi","DD"," "
"23129","Dendroprionomys rousseloti","DD"," "
"23130","Deomys ferrugineus","LC"," "
"23131","Desmodilliscus braueri","LC"," "
"23132","Desmodillus auricularis","LC"," "
"23133","Desmomys harringtoni","LC"," "
"23134","Dicrostonyx torquatus","LC"," "
"23135","Dicrostonyx vinogradovi","DD"," "
"23136","Dipodomys compactus","LC"," "
"23137","Dipodomys ordii","LC"," "
"23138","Dipus sagitta","LC"," "
"23139","Dremomys lokriah","LC"," "
"23140","Dremomys pernyi","LC"," "
"23141","Dremomys pyrrhomerus","LC"," "
"23142","Dryomys nitedula","LC"," "
"23143","Eligmodontia moreni","LC"," "
"23144","Eligmodontia morgani","LC"," "
"23145","Eligmodontia puerulus","LC"," "
"23146","Eliomys melanurus","LC"," "
"23147","Ellobius alaicus","DD"," "
"23148","Ellobius talpinus","LC"," "
"23149","Ellobius tancrei","LC"," "
"23150","Eolagurus luteus","LC"," "
"23151","Eolagurus przewalskii","LC"," "
"23152","Caryomys eva","LC"," "
"23153","Caryomys inez","LC"," "
"23154","Eothenomys melanogaster","LC"," "
"23155","Eothenomys olitor","LC"," "
"23156","Myodes regulus","LC"," "
"23157","Eptesicus diminutus","LC"," "
"23158","Eropeplus canus","VU","B1ab(ii,iii)"
"23159","Euchoreutes naso","LC"," "
"23160","Euneomys petersoni","LC"," "
"23161","Exilisciurus exilis","DD"," "
"23162","Funambulus palmarum","LC"," "
"23163","Funambulus pennantii","LC"," "
"23164","Funisciurus carruthersi","LC"," "
"23165","Funisciurus anerythrus","LC"," "
"23166","Funisciurus bayonii","DD"," "
"23167","Funisciurus congicus","LC"," "
"23168","Funisciurus isabella","LC"," "
"23169","Funisciurus lemniscatus","LC"," "
"23170","Funisciurus pyrropus","LC"," "
"23171","Funisciurus substriatus","DD"," "
"23172","Geoxus valdivianus","LC"," "
"23173","Gerbillurus paeba","LC"," "
"23174","Gerbillurus vallinus","LC"," "
"23175","Gerbillus aquilus","LC"," "
"23176","Gerbillus cheesmani","LC"," "
"23177","Gerbillus cosensis","DD"," "
"23178","Gerbillus dasyurus","LC"," "
"23179","Gerbillus dunni","LC"," "
"23180","Gerbillus gerbillus","LC"," "
"23181","Gerbillus harwoodi","LC"," "
"23182","Gerbillus henleyi","LC"," "
"23183","Gerbillus mesopotamiae","LC"," "
"23184","Gerbillus nigeriae","LC"," "
"23185","Glaucomys volans","LC"," "
"23186","Golunda ellioti","LC"," "
"23187","Grammomys caniceps","DD"," "
"23188","Grammomys cometes","LC"," "
"23189","Grammomys dolichurus","LC"," "
"23190","Grammomys gigas","EN","B1ab(iii)"
"23191","Grammomys ibeanus","LC"," "
"23192","Grammomys macmillani","LC"," "
"23193","Grammomys minnae","VU","B2ab(iii)"
"23194","Grammomys kuru","LC"," "
"23195","Graphiurus christyi","LC"," "
"23196","Graphiurus crassicaudatus","DD"," "
"23197","Graphiurus kelleni","LC"," "
"23198","Graphiurus lorraineus","LC"," "
"23199","Graphiurus murinus","LC"," "
"23200","Graphiurus platyops","LC"," "
"23201","Graphiurus surdus","DD"," "
"23202","Haeromys margarettae","DD"," "
"23203","Heliophobius argenteocinereus","LC"," "
"23204","Heliosciurus gambianus","LC"," "
"23205","Heliosciurus mutabilis","LC"," "
"23206","Heliosciurus punctatus","DD"," "
"23207","Heliosciurus rufobrachium","LC"," "
"23208","Heliosciurus undulatus","DD"," "
"23209","Heterocephalus glaber","LC"," "
"23210","Heteromys australis","LC"," "
"23211","Holochilus brasiliensis","LC"," "
"23212","Holochilus chacarius","LC"," "
"23213","Lundomys molitor","LC"," "
"23214","Holochilus sciureus","LC"," "
"23215","Hybomys basilii","EN","B1ab(iii)"
"23216","Hybomys lunaris","VU","D2"
"23217","Hybomys trivirgatus","LC"," "
"23218","Hybomys univittatus","LC"," "
"23219","Hydromys chrysogaster","LC"," "
"23220","Hydromys neobritannicus","DD"," "
"23221","Baiyankamys shawmayeri","LC"," "
"23222","Hylomyscus baeri","EN","B2ab(iii)"
"23223","Hylomyscus parvus","LC"," "
"23224","Hylomyscus alleni","LC"," "
"23225","Hylomyscus carillus","LC"," "
"23226","Hylopetes bartelsi","DD"," "
"23227","Hylopetes spadiceus","LC"," "
"23228","Hyomys dammermani","DD"," "
"23229","Hyosciurus ileile","VU","B1ab(ii,iii)"
"23230","Hyperacrius fertilis","NT"," "
"23231","Hypsignathus monstrosus","LC"," "
"23232","Hystrix africaeaustralis","LC"," "
"23233","Hystrix brachyura","LC"," "
"23234","Hystrix indica","LC"," "
"23235","Iomys horsfieldii","LC"," "
"23236","Iomys sipora","EN","B1ab(ii,iii)"
"23237","Irenomys tarsalis","LC"," "
"23238","Isoodon auratus","VU","B2ab(i,ii,iii,iv,v)"
"23239","Jaculus blanfordi","LC"," "
"23240","Jaculus jaculus","LC"," "
"23241","Komodomys rintjanus","VU","D2"
"23242","Lagurus lagurus","LC"," "
"23243","Lamottemys okuensis","EN","B1ab(iii)"
"23244","Lariscus niobe","DD"," "
"23245","Lasiopodomys brandtii","LC"," "
"23246","Lasiopodomys mandarinus","LC"," "
"23247","Lasiurus intermedius","LC"," "
"23248","Leggadina forresti","LC"," "
"23249","Leimacomys buettneri","DD"," "
"23250","Lemmus amurensis","LC"," "
"23251","Lemmus sibiricus","LC"," "
"23252","Lemniscomys griselda","LC"," "
"23253","Lemniscomys hoogstraali","DD"," "
"23254","Lemniscomys macculus","LC"," "
"23255","Lemniscomys rosalia","LC"," "
"23256","Lemniscomys roseveari","DD"," "
"23257","Lenothrix canus","LC"," "
"23258","Leopoldamys edwardsi","LC"," "
"23259","Leptomys elegans","LC"," "
"23260","Lepus yarkandensis","NT"," "
"23261","Lophuromys cinereus","DD"," "
"23262","Lophuromys nudicaudus","LC"," "
"23263","Lophuromys sikapusi","LC"," "
"23264","Lorentzimys nouhuysi","LC"," "
"23265","Macrotarsomys ingens","EN","B1ab(iii,v)"
"23266","Malacomys edwardsi","LC"," "
"23267","Malacomys longipes","LC"," "
"23268","Malacothrix typica","LC"," "
"23269","Mallomys aroaensis","LC"," "
"23270","Mallomys istapantap","LC"," "
"23271","Marmosa xerophila","VU","A2c"
"23272","Marmosops invictus","LC"," "
"23273","Marmota himalayana","LC"," "
"23274","Marmota baibacina","LC"," "
"23275","Marmota bobak","LC"," "
"23276","Marmota camtschatica","LC"," "
"23277","Mastomys erythroleucus","LC"," "
"23278","Mastomys natalensis","LC"," "
"23279","Maxomys dollmani","DD"," "
"23280","Maxomys hellwaldii","LC"," "
"23281","Maxomys hylomyoides","DD"," "
"23282","Maxomys inflatus","VU","A3c"
"23283","Maxomys pagensis","VU","B1ab(ii,iii)"
"23284","Maxomys wattsi","EN","B1ab(ii,iii)"
"23285","Melanomys caliginosus","LC"," "
"23286","Melomys aerosus","EN","B1ab(ii,iii)"
"23287","Melomys burtoni","LC"," "
"23288","Paramelomys lorentzii","LC"," "
"23289","Paramelomys platyops","LC"," "
"23290","Mammelomys rattoides","LC"," "
"23291","Paramelomys rubex","LC"," "
"23292","Melomys rufescens","LC"," "
"23293","Menetes berdmorei","LC"," "
"23294","Meriones arimalius","LC"," "
"23295","Meriones hurrianae","LC"," "
"23296","Meriones libycus","LC"," "
"23297","Meriones meridianus","LC"," "
"23298","Meriones rex","LC"," "
"23299","Meriones tamariscinus","LC"," "
"23300","Meriones tristrami","LC"," "
"23301","Meriones unguiculatus","LC"," "
"23302","Meriones vinogradovi","LC"," "
"23303","Mesechinus hughi","LC"," "
"23304","Mesocricetus raddei","LC"," "
"23305","Micromys minutus","LC"," "
"23306","Microryzomys altissimus","LC"," "
"23307","Microryzomys minutus","LC"," "
"23308","Microtus agrestis","LC"," "
"23309","Microtus daghestanicus","LC"," "
"23310","Microtus evoronensis","DD"," "
"23311","Microtus fortis","LC"," "
"23312","Microtus gregalis","LC"," "
"23313","Microtus limnophilus","LC"," "
"23314","Microtus maximowiczii","LC"," "
"23315","Microtus mexicanus","LC"," "
"23316","Microtus middendorffii","LC"," "
"23317","Microtus mongolicus","LC"," "
"23318","Microtus montebelli","LC"," "
"23319","Microtus mujanensis","DD"," "
"23320","Microtus nasarovi","DD"," "
"23321","Microtus oeconomus","LC"," "
"23322","Microtus pennsylvanicus","LC"," "
"23323","Microtus levis","LC"," "
"23324","Microtus socialis","LC"," "
"23325","Microtus townsendii","LC"," "
"23326","Microtus subterraneus","LC"," "
"23327","Millardia gleadowi","LC"," "
"23328","Millardia meltada","LC"," "
"23329","Mogera tokudae","NT"," "
"23330","Mus booduga","LC"," "
"23331","Mus bufo","LC"," "
"23332","Mus caroli","LC"," "
"23333","Mus cookii","LC"," "
"23334","Mus crociduroides","DD"," "
"23335","Mus goundae","DD"," "
"23336","Mus indutus","LC"," "
"23337","Mus macedonicus","LC"," "
"23338","Mus mahomet","LC"," "
"23339","Mus minutoides","LC"," "
"23340","Mus musculus","LC"," "
"23341","Mus oubanguii","DD"," "
"23342","Mus pahari","LC"," "
"23343","Mus phillipsi","LC"," "
"23344","Mus saxicola","LC"," "
"23345","Mus setzeri","LC"," "
"23346","Mus shortridgei","LC"," "
"23347","Mus tenellus","LC"," "
"23348","Mus terricolor","LC"," "
"23349","Mus triton","LC"," "
"23350","Mus vulcani","LC"," "
"23351","Myopus schisticolor","LC"," "
"23352","Myosciurus pumilio","LC"," "
"23353","Myosorex geata","EN","B1ab(iii)+2ab(iii)"
"23354","Myosorex schalleri","DD"," "
"23355","Myosorex okuensis","VU","B1ab(iii)"
"23356","Myosorex rumpii","EN","B1ab(iii)"
"23357","Myospalax aspalax","LC"," "
"23358","Eospalax fontanierii","LC"," "
"23359","Myospalax psilurus","LC"," "
"23360","Eospalax rothschildi","LC"," "
"23361","Eospalax smithii","LC"," "
"23362","Myotis aelleni","DD"," "
"23363","Myotis elegans","LC"," "
"23364","Myotis levis","LC"," "
"23365","Nannosciurus melanotis","LC"," "
"23366","Neacomys spinosus","LC"," "
"23367","Nectomys palmipes","LC"," "
"23368","Nectomys rattus","LC"," "
"23369","Nectomys squamipes","LC"," "
"23370","Neopteryx frosti","EN","C1"
"23371","Neotoma albigula","LC"," "
"23372","Neotoma goldmani","LC"," "
"23373","Neotoma mexicana","LC"," "
"23374","Neotoma micropus","LC"," "
"23375","Nesokia indica","LC"," "
"23376","Niviventer confucianus","LC"," "
"23377","Niviventer fulvescens","LC"," "
"23378","Niviventer hinpoon","EN","B1ab(iii)"
"23379","Niviventer langbianis","LC"," "
"23380","Notiomys edwardsii","LC"," "
"23381","Notomys mitchellii","LC"," "
"23382","Nyctomys sumichrasti","LC"," "
"23383","Octodon bridgesi","VU","B2ab(ii,iii,iv)"
"23384","Oecomys bicolor","LC"," "
"23385","Oecomys rex","LC"," "
"23386","Oecomys roberti","LC"," "
"23387","Oecomys rutilus","LC"," "
"23388","Oecomys speciosus","LC"," "
"23389","Oecomys superans","LC"," "
"23390","Oenomys hypoxanthus","LC"," "
"23391","Oligoryzomys andinus","LC"," "
"23392","Oligoryzomys chacoensis","LC"," "
"23393","Oligoryzomys destructor","LC"," "
"23394","Oligoryzomys eliurus","LC"," "
"23395","Oligoryzomys flavescens","LC"," "
"23396","Oligoryzomys fulvescens","LC"," "
"23397","Oligoryzomys longicaudatus","LC"," "
"23398","Oligoryzomys microtis","LC"," "
"23399","Onychomys arenicola","LC"," "
"23400","Onychomys leucogaster","LC"," "
"23401","Onychomys torridus","LC"," "
"23402","Orthogeomys hispidus","LC"," "
"23403","Nephelomys albigularis","LC"," "
"23404","Handleyomys alfaroi","LC"," "
"23405","Oryzomys couesi","LC"," "
"23406","Euryoryzomys macconnelli","LC"," "
"23407","Euryoryzomys nitidus","LC"," "
"23408","Handleyomys rostratus","LC"," "
"23409","Cerradomys subflavus","LC"," "
"23410","Aegialomys xanthaeolus","LC"," "
"23411","Hylaeamys yunganus","LC"," "
"23412","Otomys angoniensis","LC"," "
"23413","Otonyctomys hatti","LC"," "
"23414","Ototylomys phyllotis","LC"," "
"23415","Oxymycterus angularis","LC"," "
"23416","Oxymycterus delator","LC"," "
"23417","Oxymycterus hispidus","LC"," "
"23418","Brucepattersonius iheringi","LC"," "
"23419","Oxymycterus nasutus","LC"," "
"23420","Oxymycterus roberti","LC"," "
"23421","Oxymycterus rufus","LC"," "
"23422","Palawanomys furvus","LC"," "
"23423","Panthera leo","VU","A2abcd"
"23424","Cratogeomys castanops","LC"," "
"23425","Paracrocidura graueri","DD"," "
"23426","Paradipus ctenodactylus","LC"," "
"23427","Paraleptomys wilhelmina","DD"," "
"23428","Paraxerus alexandri","LC"," "
"23429","Paraxerus boehmi","LC"," "
"23430","Paraxerus cepapi","LC"," "
"23431","Paraxerus flavovittis","LC"," "
"23432","Paraxerus lucifer","DD"," "
"23433","Paraxerus ochraceus","LC"," "
"23434","Paraxerus palliatus","LC"," "
"23435","Paraxerus poensis","LC"," "
"23436","Paraxerus vincenti","EN","B1ab(iii,v)"
"23437","Parotomys brantsii","LC"," "
"23438","Parotomys littledalei","LC"," "
"23439","Paruromys dominator","LC"," "
"23440","Paulamys naso","EN","B1ab(ii,iii)"
"23441","Pectinator spekei","LC"," "
"23442","Pedetes capensis","LC"," "
"23443","Pelomys campanae","LC"," "
"23444","Pelomys fallax","LC"," "
"23445","Pelomys minor","LC"," "
"23446","Perognathus flavescens","LC"," "
"23447","Perognathus flavus","LC"," "
"23448","Perognathus longimembris","LC"," "
"23449","Perognathus merriami","LC"," "
"23450","Peromyscus boylii","LC"," "
"23451","Peromyscus crinitus","LC"," "
"23452","Peromyscus difficilis","LC"," "
"23453","Peromyscus gratus","LC"," "
"23454","Peromyscus leucopus","LC"," "
"23455","Peromyscus levipes","LC"," "
"23456","Peromyscus megalops","LC"," "
"23457","Peromyscus melanophrys","LC"," "
"23458","Peromyscus melanotis","LC"," "
"23459","Peromyscus merriami","LC"," "
"23460","Peromyscus nasutus","LC"," "
"23461","Peromyscus pectoralis","LC"," "
"23462","Peromyscus spicilegus","LC"," "
"23463","Peromyscus truei","LC"," "
"23464","Petaurillus hosei","DD"," "
"23465","Petaurillus kinlochii","DD"," "
"23466","Petaurista alborufus","LC"," "
"23467","Petaurista leucogenys","LC"," "
"23468","Petaurista petaurista","LC"," "
"23469","Petaurista xanthotis","LC"," "
"23470","Petinomys genibarbis","VU","A2c+3c+4c"
"23471","Petinomys vordermanni","VU","A2c+3c+4c"
"23472","Petromyscus collinus","LC"," "
"23473","Petromyscus monticularis","LC"," "
"23474","Phodopus campbelli","LC"," "
"23475","Phodopus roborovskii","LC"," "
"23476","Phodopus sungorus","LC"," "
"23477","Phyllotis amicus","LC"," "
"23478","Phyllotis andium","LC"," "
"23479","Phyllotis haggardi","LC"," "
"23480","Phyllotis magister","LC"," "
"23481","Phyllotis wolffsohni","LC"," "
"23482","Pithecheir melanurus","VU","B2ab(ii,iii)"
"23483","Pithecheir parvus","DD"," "
"23484","Platacanthomys lasiurus","VU","B2ab(ii,iii)"
"23485","Platyrrhinus aurarius","LC"," "
"23486","Pogonomys championi","DD"," "
"23487","Pogonomys loriae","LC"," "
"23488","Pogonomys macrourus","LC"," "
"23489","Pogonomys sylvestris","LC"," "
"23490","Praomys hartwigi","VU","B1ab(iii)"
"23491","Praomys jacksoni","LC"," "
"23492","Praomys morio","EN","B1ab(iii)"
"23493","Procapra picticaudata","NT"," "
"23494","Procapra gutturosa","LC"," "
"23495","Protoxerus stangeri","LC"," "
"23496","Psammomys obesus","LC"," "
"23497","Pseudomys oralis","VU","C2a(i)"
"23498","Pseudomys shortridgei","NT"," "
"23499","Pseudomys albocinereus","LC"," "
"23500","Pseudomys delicatulus","LC"," "
"23501","Pseudomys desertor","LC"," "
"23502","Pseudomys hermannsburgensis","LC"," "
"23503","Pseudomys johnsoni","LC"," "
"23504","Pseudomys nanus","LC"," "
"23505","Pseudomys patrius","LC"," "
"23506","Pseudoryzomys simplex","LC"," "
"23507","Pteromys volans","LC"," "
"23508","Pteronotus personatus","LC"," "
"23509","Pteropus ocularis","VU","A3c"
"23510","Pygeretmus platyurus","LC"," "
"23511","Pygeretmus pumilio","LC"," "
"23512","Rattus tawitawiensis","DD"," "
"23513","Rattus argentiventer","LC"," "
"23514","Rattus bontanus","DD"," "
"23515","Rattus enganus","DD"," "
"23516","Rattus everetti","LC"," "
"23517","Rattus exulans","LC"," "
"23518","Rattus fuscipes","LC"," "
"23519","Rattus hainaldi","EN","B1ab(ii,iii)"
"23520","Rattus hoogerwerfi","VU","D2"
"23521","Rattus leucopus","LC"," "
"23522","Rattus losea","LC"," "
"23523","Rattus lugens","VU","B1ab(ii,iii)"
"23524","Rattus lutreolus","LC"," "
"23525","Rattus nitidus","LC"," "
"23526","Rattus palmarum","VU","D2"
"23527","Rattus pelurus","DD"," "
"23528","Rattus praetor","LC"," "
"23529","Rattus ranjiniae","EN","B1ab(iii)+2ab(iii)"
"23530","Rattus rattus","LC"," "
"23531","Rattus andamanensis","LC"," "
"23532","Rattus simalurensis","EN","B1ab(ii,iii)"
"23533","Rattus sordidus","LC"," "
"23534","Rattus stoicus","VU","D2"
"23535","Rattus tanezumi","LC"," "
"23536","Rattus tunneyi","LC"," "
"23537","Rattus pyctoris","LC"," "
"23538","Rattus villosissimus","LC"," "
"23539","Rattus xanthurus","NT"," "
"23540","Reithrodon auritus","LC"," "
"23541","Reithrodontomys fulvescens","LC"," "
"23542","Reithrodontomys gracilis","LC"," "
"23543","Reithrodontomys megalotis","LC"," "
"23544","Reithrodontomys mexicanus","LC"," "
"23545","Reithrodontomys montanus","LC"," "
"23546","Reithrodontomys sumichrasti","LC"," "
"23547","Reithrodontomys zacatecae","LC"," "
"23548","Rhipidomys latimanus","LC"," "
"23549","Rhipidomys leucodactylus","LC"," "
"23550","Rhipidomys mastacalis","LC"," "
"23551","Rhipidomys wetzeli","LC"," "
"23552","Rhizomys pruinosus","LC"," "
"23553","Rhizomys sinensis","LC"," "
"23554","Rhizomys sumatrensis","LC"," "
"23555","Rhombomys opimus","LC"," "
"23556","Ruwenzorisorex suncoides","VU","B2ab(iii)"
"23557","Saccostomus campestris","LC"," "
"23558","Saccostomus mearnsi","LC"," "
"23559","Salpingotus heptneri","DD"," "
"23560","Salpingotus kozlovi","LC"," "
"23561","Salpingotus pallidus","DD"," "
"23562","Sciurotamias davidianus","LC"," "
"23563","Sciurus anomalus","LC"," "
"23564","Sciurus deppei","LC"," "
"23565","Sciurus granatensis","LC"," "
"23566","Sciurus griseus","LC"," "
"23567","Sciurus igniventris","LC"," "
"23568","Sciurus lis","LC"," "
"23569","Sciurus nayaritensis","LC"," "
"23570","Sciurus niger","LC"," "
"23571","Sciurus spadiceus","LC"," "
"23572","Sciurus stramineus","LC"," "
"23573","Sciurus vulgaris","LC"," "
"23574","Sciurus yucatanensis","LC"," "
"23575","Scolomys melanops","LC"," "
"23576","Scolomys ucayalensis","LC"," "
"23577","Sekeetamys calurus","LC"," "
"23578","Selevinia betpakdalaensis","DD"," "
"23579","Sicista betulina","LC"," "
"23580","Sicista concolor","LC"," "
"23581","Sicista napaea","LC"," "
"23582","Sicista strandi","LC"," "
"23583","Sigmodon alstoni","LC"," "
"23584","Sigmodon hispidus","LC"," "
"23585","Sigmodon mascotensis","LC"," "
"23586","Sigmodon ochrognathus","LC"," "
"23587","Sigmodontomys alfari","LC"," "
"23588","Sorex leucogaster","DD"," "
"23589","Sorex arizonae","LC"," "
"23590","Spermophilopsis leptodactylus","LC"," "
"23591","Spermophilus alashanicus","LC"," "
"23592","Spermophilus dauricus","LC"," "
"23593","Spermophilus erythrogenys","LC"," "
"23594","Steatomys jacksoni","DD"," "
"23595","Steatomys krebsii","LC"," "
"23596","Steatomys pratensis","LC"," "
"23597","Stenocephalemys griseicauda","LC"," "
"23598","Rattus niobe","LC"," "
"23599","Rattus verecundus","LC"," "
"23600","Surdisorex norae","LC"," "
"23601","Surdisorex polulus","DD"," "
"23602","Suncus dayi","EN","B2ab(ii,iii)"
"23603","Suncus hosei","DD"," "
"23604","Suncus mertensi","EN","B1ab(iii)"
"23605","Sundasciurus fraterculus","VU","B1ab(ii,iii)"
"23606","Sundasciurus rabori","DD"," "
"23607","Sylvisorex morio","EN","B1ab(iii)"
"23608","Sylvisorex oriundus","DD"," "
"23609","Tachyoryctes macrocephalus","EN","B1ab(iii)"
"23610","Eutamias sibiricus","LC"," "
"23611","Gerbilliscus boehmi","LC"," "
"23612","Gerbilliscus brantsii","LC"," "
"23613","Gerbilliscus inclusus","LC"," "
"23614","Gerbilliscus leucogaster","LC"," "
"23615","Gerbilliscus robustus","LC"," "
"23616","Taterillus arenarius","LC"," "
"23617","Taterillus emini","LC"," "
"23618","Taterillus gracilis","LC"," "
"23619","Thallomys loringi","LC"," "
"23620","Thallomys nigricauda","LC"," "
"23621","Thallomys paedulcus","LC"," "
"23622","Thomomys bottae","LC"," "
"23623","Thomomys umbrinus","LC"," "
"23624","Thomomys mazama","LC"," "
"23625","Thryonomys swinderianus","LC"," "
"23626","Lophostoma brasiliense","LC"," "
"23627","Tragelaphus buxtoni","EN","C1"
"23628","Tragelaphus eurycerus","NT"," "
"23629","Tragelaphus spekii","LC"," "
"23630","Tragelaphus scriptus","LC"," "
"23631","Tragelaphus angasii","LC"," "
"23632","Tragelaphus imberbis","NT"," "
"23633","Tragelaphus oryx","LC"," "
"23634","Tscherskia triton","LC"," "
"23635","Tupaia nicobarica","EN","B1ab(iii)"
"23636","Microtus clarkei","LC"," "
"23637","Juliomys pictipes","LC"," "
"23638","Xerus erythropus","LC"," "
"23639","Xerus inauris","LC"," "
"23640","Xerus princeps","LC"," "
"23641","Xerus rutilus","LC"," "
"23642","Zapus trinotatus","LC"," "
"23643","Zelotomys woosnami","LC"," "
"23644","Zelotomys hildegardeae","LC"," "
"23645","Hylaeamys megacephalus","LC"," "
"23646","Euryoryzomys russatus","LC"," "
"23647","Crunomys suncoides","DD"," "
"23648","Voalavo gymnocaudus","LC"," "
"23649","Crocidura leucodon","LC"," "
"23650","Crocidura russula","LC"," "
"23651","Neomys anomalus","LC"," "
"23652","Neomys fodiens","LC"," "
"23653","Sorex araneus","LC"," "
"23654","Sorex isodon","LC"," "
"23655","Sorex minutissimus","LC"," "
"23656","Sorex minutus","LC"," "
"23657","Glis glis","LC"," "
"23658","Cebus albifrons","LC"," "
"23659","Isoodon obesulus","LC"," "
"23660","Perameles nasuta","LC"," "
"23661","Atelerix albiventris","LC"," "
"23662","Erinaceus amurensis","LC"," "
"23663","Erinaceus concolor","LC"," "
"23664","Hemiechinus auritus","LC"," "
"23665","Paraechinus hypomelas","LC"," "
"23666","Hylomys suillus","LC"," "
"23667","Mesechinus dauuricus","LC"," "
"23668","Chimarrogale himalayica","LC"," "
"23669","Chimarrogale styani","LC"," "
"23670","Crocidura bottegi","DD"," "
"23671","Crocidura crossei","LC"," "
"23672","Crocidura cyanea","LC"," "
"23673","Crocidura dsinezumi","LC"," "
"23674","Crocidura dolichura","LC"," "
"23675","Crocidura fuliginosa","LC"," "
"23676","Crocidura fulvastra","LC"," "
"23677","Crocidura fuscomurina","LC"," "
"23678","Praomys obscurus","EN","B1ab(iii)"
"23679","Lemniscomys zebra","LC"," "
"23680","Crocidura cinderella","LC"," "
"23681","Crocidura goliath","LC"," "
"23682","Crocidura hildegardeae","LC"," "
"23683","Crocidura hirta","LC"," "
"23684","Crocidura jacksoni","LC"," "
"23685","Crocidura lasiura","LC"," "
"23686","Crocidura littoralis","LC"," "
"23687","Crocidura luna","LC"," "
"23688","Crocidura lusitania","LC"," "
"23689","Crocidura macarthuri","LC"," "
"23690","Crocidura mariquensis","LC"," "
"23691","Crocidura maurisca","LC"," "
"23692","Crocidura maxi","LC"," "
"23693","Crocidura muricauda","LC"," "
"23694","Crocidura mutesae","DD"," "
"23695","Crocidura nanilla","LC"," "
"23696","Crocidura nigeriae","LC"," "
"23697","Crocidura nigrofusca","LC"," "
"23698","Crocidura olivieri","LC"," "
"23699","Crocidura parvipes","LC"," "
"23700","Crocidura pasha","LC"," "
"23701","Crocidura planiceps","DD"," "
"23702","Crocidura poensis","LC"," "
"23703","Crocidura roosevelti","LC"," "
"23704","Crocidura sibirica","LC"," "
"23705","Crocidura silacea","LC"," "
"23706","Crocidura smithii","LC"," "
"23707","Crocidura somalica","LC"," "
"23708","Crocidura viaria","LC"," "
"23709","Crocidura voi","LC"," "
"23710","Crocidura yankariensis","LC"," "
"23711","Crocidura zaphiri","DD"," "
"23712","Crocidura zarudnyi","LC"," "
"23713","Cryptotis parva","LC"," "
"23714","Myosorex cafer","LC"," "
"23715","Paracrocidura schoutedeni","LC"," "
"23716","Sorex arcticus","LC"," "
"23717","Sorex bendirii","LC"," "
"23718","Sorex cinereus","LC"," "
"23719","Sorex daphaenodon","LC"," "
"23720","Sorex dispar","LC"," "
"23721","Sorex gracillimus","LC"," "
"23722","Sorex haydeni","LC"," "
"23723","Sorex hoyi","LC"," "
"23724","Sorex longirostris","LC"," "
"23725","Sorex merriami","LC"," "
"23726","Sorex monticolus","LC"," "
"23727","Sorex nanus","LC"," "
"23728","Sorex ornatus","LC"," "
"23729","Sorex palustris","LC"," "
"23730","Sorex portenkoi","DD"," "
"23731","Sorex preblei","LC"," "
"23732","Sorex roboratus","LC"," "
"23733","Sorex satunini","LC"," "
"23734","Sorex trowbridgii","LC"," "
"23735","Sorex tundrensis","LC"," "
"23736","Sorex ugyunak","LC"," "
"23737","Sorex unguiculatus","LC"," "
"23738","Sorex vagrans","LC"," "
"23739","Chodsigoa hypsibia","LC"," "
"23740","Episoriculus leucops","LC"," "
"23741","Episoriculus macrurus","LC"," "
"23742","Chodsigoa parca","LC"," "
"23743","Diplomesodon pulchellum","LC"," "
"23744","Anourosorex squamipes","LC"," "
"23745","Blarina brevicauda","LC"," "
"23746","Blarina carolinensis","LC"," "
"23747","Blarina hylophaga","LC"," "
"23748","Notiosorex crawfordi","LC"," "
"23749","Condylura cristata","LC"," "
"23750","Euroscaptor klossi","LC"," "
"23751","Neurotrichus gibbsii","LC"," "
"23752","Parascalops breweri","LC"," "
"23753","Scalopus aquaticus","LC"," "
"23754","Scapanulus oweni","LC"," "
"23755","Scapanus latimanus","LC"," "
"23756","Scapanus orarius","LC"," "
"23757","Scaptochirus moschatus","LC"," "
"23758","Tupaia gracilis","LC"," "
"23759","Ammospermophilus harrisii","LC"," "
"23760","Ammospermophilus interpres","LC"," "
