"","result.scientific_name","result.category","result.criteria"
"253","Litoria brevipalmata","EN","B2ab(iii,iv,v)"
"254","Litoria castanea","CR","D"
"255","Litoria dentata","LC"," "
"256","Litoria lesueurii","LC"," "
"257","Litoria nannotis","EN","A2ae"
"258","Litoria nyakalensis","CR","D"
"259","Litoria pearsoniana","NT"," "
"260","Litoria piperata","CR","D"
"261","Litoria rheocola","EN","A2ae"
"262","Litoria spenceri","CR","B2ab(ii,iii,iv,v)"
"263","Litoria verreauxii","LC"," "
"264","Litoria lorica","CR","D"
"265","Andrias davidianus","CR","A2ad"
"266","Andrias japonicus","NT"," "
"267","Mantella aurantiaca","CR","B2ab(iii,v)"
"268","Aneides aeneus","NT"," "
"269","Melanobatrachus indicus","EN","B1ab(iii)"
"270","Mertensiella caucasica","VU","B2ab(ii,iii)"
"271","Bokermannohyla itapoty","LC"," "
"272","Pristimantis culatensis","DD"," "
"273","Cophixalus timidus","DD"," "
"274","Pristimantis waoranii","DD"," "
"275","Hylodes pipilans","DD"," "
"276","Cophixalus humicola","LC"," "
"277","Bolitoglossa paraensis","DD"," "
"278","Espadarana callistomma","DD"," "
"279","Psychrophrynella katantika","LC"," "
"280","Telmatobius chusmisensis","DD"," "
"281","Pristimantis jabonensis","DD"," "
"282","Kaloula macrocephala","DD"," "
"283","Eleutherodactylus michaelschmidi","EN","B1ab(iii)+2ab(iii)"
"284","Pleurodema fuscomaculatum","DD"," "
"285","Litoria staccato","LC"," "
"286","Mixophyes carbinensis","LC"," "
"287","Litoria biakensis","DD"," "
"288","Litoria dux","DD"," "
"289","Nymphargus buenaventura","DD"," "
"290","Rana hanluica","DD"," "
"291","Teratohyla amelie","DD"," "
"292","Pristimantis saltissimus","LC"," "
"293","Brachycephalus alipioi","DD"," "
"294","Nyctibatrachus sholai","DD"," "
"295","Cophixalus tridactylus","DD"," "
"296","Eupsophus septentrionalis","DD"," "
"297","Polypedates chlorophthalmus","DD"," "
"298","Craugastor chingopetaca","DD"," "
"299","Theloderma truongsonense","DD"," "
"300","Bokermannohyla oxente","LC"," "
"301","Leptodactylus sertanejo","LC"," "
"302","Gegeneophis goaensis","DD"," "
"303","Phyllomedusa bahiana","DD"," "
"304","Rhacophorus hui","DD"," "
"305","Pseudis platensis","DD"," "
"306","Rhinella alata","DD"," "
"307","Rhinella veredas","LC"," "
"308","Amolops daiyunensis","NT"," "
"309","Ingerophrynus gollum","DD"," "
"310","Litoria rivicola","LC"," "
"311","Pelophylax caralitanus","NT"," "
"312","Gastrotheca fulvorufa","DD"," "
"313","Bokermannohyla diamantina","DD"," "
"314","Leptodactylus paraensis","LC"," "
"315","Cornufer adiastolus","DD"," "
"316","Proceratophrys paviotii","DD"," "
"317","Pristimantis colonensis","DD"," "
"318","Odorrana monjerai","DD"," "
"319","Pseudacris fouquettei","LC"," "
"320","Ameerega yungicola","LC"," "
"321","Pristimantis zoilae","DD"," "
"322","Speleomantes sarrabusensis","VU","D2"
