"","Scientific.name_TBN","Scientific.name_PSL","Chinese.common.name_PSL","prtected_status","Version","tp_tid","taibnet_namecode","uuid","protect.species.list.number","rank","X","X.1","X.2"
"47","Pandion haliaetus","Pandion haliaetus","魚鷹","II","v1080109",1025068,NA,"82702ec4-1655-4f43-83b8-cca275dad7d8",346,"species",NA,NA,NA
"48","Pernis ptilorhynchus","Pernis ptilorhynchus","東方蜂鷹(蜂鷹、雕頭鷹)","II","v1080109",1025168,NA,"19b1cc22-5e72-4376-b878-eeea24879682",347,"species",NA,NA,NA
"49","Spilornis cheela","Spilornis cheela","大冠鷲","II","v1080109",1025516,NA,"280c0c12-eb54-4c01-a10e-b7232b58de16",349,"species",NA,NA,NA
"50","Nisaetus nipalensis","Nisaetus nipalensis","赫氏角鷹(熊鷹)","I","v1080109",1024929,NA,"9401a1ca-328b-4645-8c6b-3578cfd7c1b8",350,"species",NA,NA,NA
"51","Falco peregrinus","Falco peregrinus","遊隼(隼)","II","v1080109",1024354,NA,"6d15baa8-ebdc-48e6-b0e8-76836acbd62e",356,"species",NA,NA,NA
"52","Falco subbuteo","Falco subbuteo","燕隼","II","v1080109",1024355,NA,"01dce462-da11-40ac-93f7-05028587f1cf",359,"species",NA,NA,NA
"53","Falco tinnunculus","Falco tinnunculus","紅隼","II","v1080109",1024356,NA,"9f5661de-c843-4aae-9ac9-09c34263aef2",360,"species",NA,NA,NA
"54","Arborophila crudigularis","Arborophila crudigularis","臺灣山鷓鴣(深山竹雞)","III","v1080109",380285,380285,"e17f3444-d8de-4a62-b4af-9888b58c4f93",368,"species",NA,NA,NA
"55","Lophura swinhoii","Lophura swinhoii","藍腹鷴","II","v1080109",380289,380289,"ef457bab-7f1f-4313-8282-75084241c775",381,"species",NA,NA,NA
"56","Phasianus colchicus","Phasianus colchicus","環頸雉","II","v1080109",1025193,NA,"0fb91a1c-ded5-47cc-882e-fba220e03c26",383,"species",NA,NA,NA
"57","Grus japonensis","Grus japonensis","丹頂鶴","I","v1080109",380293,380293,"bc2b5442-7a76-49bb-99a5-65631f2175fc",403,"species",NA,NA,NA
"58","Grus monacha","Grus monacha","白頭鶴","I","v1080109",380294,380294,"943a9b58-5627-41a3-8794-ee25b5165d7c",405,"species",NA,NA,NA
"59","Gallicrex cinerea","Gallicrex cinerea","董雞","III","v1080109",380298,380298,"e67a95bb-ad16-4e67-b2a8-d962efd5f30f",414,"species",NA,NA,NA
"60","Coracina macei","Coracina macei","花翅山椒鳥","II","v1080109",1024015,NA,"a0f13f22-2ae9-4d61-aede-8b6862fcf869",417,"species",NA,NA,NA
"61","Urocissa caerulea","Urocissa caerulea","臺灣藍鵲","III","v1080109",380336,380336,"70840ef4-f982-4e5f-8691-2f7f961831e1",418,"species",NA,NA,NA
"62","Emberiza sulphurata","Emberiza sulphurata","野?(繡眼?)","II","v1080109",404581,404581,"7d6d0434-7ed4-48d3-92bb-21dc1e5cb97c",422,"species",NA,NA,NA
"63","Emberiza aureola","Emberiza aureola","金?","II","v1080109",1024219,NA,"1a8b7d76-debb-4ed3-abf1-5c5125b6025f",424,"species",NA,NA,NA
"64","Lonchura atricapilla","Lonchura atricapilla","黑頭文鳥","III","v1080109",1024676,NA,"f3d89a59-01a5-4c8a-bff2-12d103301bc8",430,"species",NA,NA,NA
"65","Carpodacus formosanus","Carpodacus formosanus","臺灣朱雀","III","v1080109",425192,425192,"9948f41b-fc69-4e6f-849e-e8c2dacd825f",433,"species",NA,NA,NA
"66","Prunella collaris","Prunella collaris","岩鷚","III","v1080109",1025318,NA,"8d00d5b2-2fb7-49de-b53c-e7f0209ecbaf",434,"species",NA,NA,NA
"67","Lanius cristatus","Lanius cristatus","紅尾伯勞","III","v1080109",1024598,NA,"ff20ba0f-22a5-448f-b6ff-134434b50c84",437,"species",NA,NA,NA
"68","Actinodura morrisoniana","Actinodura morrisoniana","紋翼畫眉","III","v1080109",380455,380455,"a28f4753-860e-4e48-a23c-7510f9e29bff",438,"species",NA,NA,NA
"69","Garrulax canorus","Garrulax canorus","畫眉","II","v1080109",1024395,NA,"0b16d184-e6e6-4fcf-a1f5-2ddbd8ca43bd",439,"species",NA,NA,NA
"70","Garrulax taewanus","Garrulax taewanus","臺灣畫眉","II","v1080109",404589,404589,"f75d0c53-2b2c-4a20-aa79-d03c5f8a9fd3",440,"species",NA,NA,NA
"71","Ianthocincla poecilorhyncha","Ianthocincla poecilorhyncha","棕噪眉(竹鳥)","II","v1080109",428597,428597,"a2882575-aa64-40f6-8988-2bd95dafd495",441,"species",NA,NA,NA
"72","Ianthocincla ruficeps","Ianthocincla ruficeps","白喉噪眉(白喉笑鶇)","II","v1080109",428595,428595,"3a87a4f1-eefd-4105-b95b-b9006b24ccdd",442,"species",NA,NA,NA
"73","Liocichla steerii","Liocichla steerii","黃胸藪眉","III","v1080109",380468,380468,"b3ebff46-3b98-4252-aaaf-5bb401ab46cd",444,"species",NA,NA,NA
"74","Heterophasia auricularis","Heterophasia auricularis","白耳畫眉","III","v1080109",380467,380467,"84e5026b-061f-467f-8e4e-a38e7fb29026",445,"species",NA,NA,NA
"75","Terpsiphone atrocaudata","Terpsiphone atrocaudata","紫壽帶(綬帶鳥)","II","v1080109",1025642,NA,"4fe88bf7-7e84-4d82-bc5a-806cbcaff6e3",447,"species",NA,NA,NA
"76","Enicurus scouleri","Enicurus scouleri","小剪尾","II","v1080109",1024234,NA,"dede6677-498b-4ecf-9cfd-7098ff3207b1",452,"species",NA,NA,NA
"77","Niltava vivida","Niltava vivida","黃腹琉璃","III","v1080109",1024921,NA,"61a4f693-98bf-428f-847d-2ed004f7cbaf",453,"species",NA,NA,NA
"78","Phoenicurus fuliginosus","Phoenicurus fuliginosus","鉛色水鶇","III","v1080109",1025204,NA,"105e0a46-e9b2-4e6b-802b-df6b8504ec20",454,"species",NA,NA,NA
"79","Tarsiger indicus","Tarsiger indicus","白眉林鴝","III","v1080109",1025629,NA,"f090cb1d-e3e0-476c-a170-d4d907510118",457,"species",NA,NA,NA
"80","Tarsiger johnstoniae","Tarsiger johnstoniae","栗背林鴝","III","v1080109",419684,419684,"2a938a10-e730-444a-93c2-93c753907c31",458,"species",NA,NA,NA
"81","Oriolus chinensis","Oriolus chinensis","黃鸝","II","v1080109",1025011,NA,"da97cd9a-686f-4f3b-94a9-1623ab914351",459,"species",NA,NA,NA
"82","Oriolus traillii","Oriolus traillii","朱鸝","II","v1080109",1025012,NA,"c6e1b358-4b60-4303-9e60-93d3076d76fb",460,"species",NA,NA,NA
"83","Parus monticolus","Parus monticolus","綠背山雀(青背山雀)","III","v1080109",1025134,NA,"45fa8681-3a7e-4a66-841b-7cf9da482b9e",463,"species",NA,NA,NA
"84","Periparus ater","Periparus ater","煤山雀","III","v1080109",1025162,NA,"6da20db4-9529-42c7-991d-b67f8e37a6be",464,"species",NA,NA,NA
"85","Sittiparus castaneoventris","Sittiparus castaneoventris","赤腹山雀","II","v1080109",432166,432166,"b64554fc-0c0a-4ade-9e0d-5eb3cd84b0e7",465,"species",NA,NA,NA
"86","Passer rutilans","Passer rutilans","山麻雀","I","v1080109",1025140,NA,"50cdf9b2-217c-44e3-94a0-755d0810ffc3",466,"species",NA,NA,NA
"87","Pitta nympha","Pitta nympha","仙八色鶇(八色鳥)","II","v1080109",380436,380436,"26c84d6e-66bc-4928-842d-86774c26b317",470,"species",NA,NA,NA
"88","Pycnonotus taivanus","Pycnonotus taivanus","烏頭翁","II","v1080109",380440,380440,"0f4a4cbf-de63-43e0-bcaa-381c161c63e6",471,"species",NA,NA,NA
"89","Regulus goodfellowi","Regulus goodfellowi","臺灣戴菊(火冠戴菊鳥)","III","v1080109",380442,380442,"fc9b6509-2981-4915-b09b-7d289bb4622b",473,"species",NA,NA,NA
"90","Acridotheres cristatellus","Acridotheres cristatellus","八哥","II","v1080109",1023443,NA,"56db805c-faf5-417c-8d04-ae8f442ca622",474,"species",NA,NA,NA
"91","Gracula religiosa","Gracula religiosa","九官鳥","II","v1080109",419446,419446,"94e11be7-aea5-4fb2-bdf4-ffd50423d3b7",475,"species",NA,NA,NA
"92","Phylloscopus ijimae","Phylloscopus ijimae","飯島柳鶯(艾吉柳鶯)","III","v1080109",404634,404634,"100a5f31-51f5-4c3b-a9c3-91c85bbe3849",477,"species",NA,NA,NA
"93","Leiothrix argentauris","Leiothrix argentauris","銀耳相思鳥","II","v1080109",432360,432360,"59e13b41-f852-4e9a-968a-97f2288802f0",478,"species",NA,NA,NA
"94","Leiothrix lutea","Leiothrix lutea","紅嘴相思鳥","II","v1080109",417886,417886,"0d962ac3-9c74-446f-bfce-cc24461abf69",479,"species",NA,NA,NA
"95","Turdus poliocephalus","Turdus poliocephalus","白頭鶇","II","v1080109",1025725,NA,"3f6ddcee-31b4-4af1-bd9b-01dc6b171118",480,"species",NA,NA,NA
"96","Yuhina brunneiceps","Yuhina brunneiceps","冠羽畫眉","III","v1080109",380486,380486,"2dc77ddb-7020-4701-b24f-7c548ca059c4",481,"species",NA,NA,NA
"97","Dendrocopos leucotos","Dendrocopos leucotos","大赤啄木","II","v1080109",1024117,NA,"0cfc5f84-e36f-4eb0-b071-382adb17dce9",483,"species",NA,NA,NA
"98","Picus canus","Picus canus","綠啄木","II","v1080109",1025227,NA,"138e3018-2c45-45d9-8cd4-99dd636d6f74",485,"species",NA,NA,NA
"99","Cacatua alba","Cacatua alba","白鳳頭鸚鵡","II","v1080109",419413,419413,"632f098f-76bb-43c3-8b1f-b7da8fbd37c0",493,"species",NA,NA,NA
"100","Cacatua galerita","Cacatua galerita","葵花鳳頭鸚鵡","II","v1080109",419414,419414,"fd4b7847-e68c-443f-a7a5-ce7414e95767",494,"species",NA,NA,NA
"101","Cacatua goffiniana","Cacatua goffiniana","戈芬氏鳳頭鸚鵡","I","v1080109",419415,419415,"f70b5c4f-b073-47c4-8ea5-a5489c5cf2e4",495,"species",NA,NA,NA
"102","Cacatua moluccensis","Cacatua moluccensis","鮭冠鸚鵡","I","v1080109",419416,419416,"96d8481d-7748-4733-a64e-0e793321208f",498,"species",NA,NA,NA
