"Protected species list number" "Scientific name" "note" "rank" "Chinese common name" "note_chinese" "Protected Species category"
723 "Geoemyda japonica" NA "species" "琉球地龜" NA "II"
724 "Geoemyda spengleri" NA "species" "黑胸葉龜" NA "II"
725 "Hardella thurjii" NA "species" "冠背龜" NA "II"
726 "Heosemys annandalii" NA "species" "黃頭廟龜" NA "II"
727 "Heosemys depressa" NA "species" "亞洲山龜" NA "II"
728 "Heosemys grandis" NA "species" "亞洲巨龜" NA "II"
729 "Heosemys spinosa" NA "species" "太陽龜" NA "II"
730 "Leucocephalon yuwonoi" NA "species" "蘇拉維西葉龜" NA "II"
731 "Malayemys macrocephala" NA "species" "泰國食螺龜" NA "II"
732 "Malayemys subtrijuga" NA "species" "馬來食蝸龜" NA "II"
733 "Mauremys annamensis" NA "species" "安南擬水龜" NA "II"
734 "Mauremys japonica" NA "species" "日本石龜" NA "II"
735 "Mauremys mutica" NA "species" "柴棺龜" NA "I"
736 "Mauremys nigricans" NA "species" "黑頸烏龜" NA "II"
737 "Mauremys reevesii" "Synonym : Chinemys reevesii" "species" "金龜" NA "II"
738 "Melanochelys tricarinata" NA "species" "三龍骨龜" NA "I"
739 "Melanochelys trijuga" NA "species" "印度黑龜" NA "II"
740 "Morenia ocellata" NA "species" "緬甸眼斑沼龜" NA "I"
741 "Morenia petersi" NA "species" "印度眼斑沼龜" NA "II"
742 "Notochelys platynota" NA "species" "六板龜" NA "II"
743 "Orlitia borneensis" NA "species" "婆羅洲河龜" NA "II"
744 "Pangshura spp." "Except the species included in Endangered Species" "genus" "小棱背龜屬所有種" "瀕臨絕種物種除外" "II"
745 "Pangshura tecta" NA "species" "北印度棱背龜" NA "I"
746 "Sacalia bealei" NA "species" "眼斑龜" NA "II"
747 "Sacalia quadriocellata" NA "species" "四眼龜" NA "II"
748 "Siebenrockiella crassicollis" NA "species" "粗頸龜" NA "II"
749 "Siebenrockiella leytensis" NA "species" "菲律賓粗頸龜" NA "II"
750 "Vijayachelys silvatica" NA "species" "蔗林龜" NA "II"
751 "Platysternidae spp." NA "family" "大頭龜科所有種" NA "I"
752 "Erymnochelys madagascariensis" NA "species" "馬達加斯加大頭側頸龜" NA "II"
753 "Peltocephalus dumerilianus" NA "species" "亞馬遜大頭側頸龜" NA "II"
754 "Podocnemis spp." "Except Podocnemis unifilis" "genus" "南美側頸龜屬所有種" "黃頭側頸龜Podocnemis unifilis除外" "II"
755 "Testudinidae spp." "Except the species included in Endangered Species" "family" "陸龜科所有種" "瀕臨絕種物種除外" "II"
756 "Astrochelys radiata" NA "species" "射紋陸龜" NA "I"
757 "Astrochelys yniphora" NA "species" "安哥洛卡陸龜" NA "I"
758 "Chelonoidis nigra" NA "species" "加拉巴哥象龜" NA "I"
759 "Geochelone platynota" NA "species" "緬甸星龜" NA "I"
760 "Gopherus flavomarginatus" NA "species" "黃緣沙龜" NA "I"
761 "Psammobates geometricus" NA "species" "幾何陸龜" NA "I"
762 "Pyxis arachnoides" NA "species" "蛛網陸龜" NA "I"
763 "Pyxis planicauda" NA "species" "平背陸龜" NA "I"
764 "Testudo kleinmanni" NA "species" "埃及陸龜" NA "I"
765 "Amyda cartilaginea" NA "species" "亞洲鱉" NA "II"
766 "Apalone spinifera atra" NA "infraspecies" "黑棘鱉" NA "I"
767 "Chitra spp." "Except the species included in Endangered Species" "genus" "小頭鱉屬所有種" "瀕臨絕種物種除外" "II"
768 "Chitra chitra" NA "species" "紋背小頭鱉" NA "I"
769 "Chitra vandijki" NA "species" "緬甸小頭鱉" NA "I"
770 "Dogania subplana" NA "species" "馬來鱉" NA "II"
771 "Lissemys ceylonensis" NA "species" "斯里蘭卡緣板鱉" NA "II"
772 "Lissemys punctata" NA "species" "印度緣板鱉" NA "II"
773 "Lissemys scutata" NA "species" "緬甸緣板鱉" NA "II"
774 "Nilssonia formosa" NA "species" "緬甸孔雀鱉" NA "II"
775 "Nilssonia gangetica" "Synonym : Aspideretes gangeticus" "species" "印度鱉" NA "I"
776 "Nilssonia hurum" "Synonym : Aspideretes hurum" "species" "孔雀鱉" NA "I"
777 "Nilssonia leithii" NA "species" "萊氏鱉" NA "II"
778 "Nilssonia nigricans" "Synonym : Aspideretes nigricans" "species" "黑鱉" NA "I"
779 "Palea steindachneri" NA "species" "山瑞鱉" NA "II"
780 "Pelochelys spp." NA "genus" "巨鱉屬所有種" NA "II"
781 "Pelodiscus axenaria" NA "species" "砂鱉" NA "II"
782 "Pelodiscus maackii" NA "species" "東北鱉" NA "II"
783 "Pelodiscus parviformis" NA "species" "小鱉" NA "II"
784 "Rafetus swinhoei" NA "species" "斑鱉" NA "II"
785 "Allobates femoralis" NA "species" "紅腿異箭毒蛙" NA "II"
786 "Allobates hodli" NA "species" "哈氏異箭毒蛙" NA "II"
787 "Allobates myersi" NA "species" "麥氏異箭毒蛙" NA "II"
788 "Allobates rufulus" NA "species" "席拉異箭毒蛙" NA "II"
789 "Allobates zaparo" NA "species" "紅背異箭毒蛙" NA "II"
790 "Amietophrynus superciliaris" "Synonym : Bufo superciliaris" "species" "睫眉蟾蜍" NA "I"
791 "Altiphrynoides spp." "Synonym : Spinophrynoides spp." "genus" "衣索匹亞蟾蜍屬所有種" NA "I"
792 "Atelopus zeteki" NA "species" "澤氏斑蟾" NA "I"
793 "Incilius periglenes" "Synonym : Bufo periglenes" "species" "金色蟾蜍" NA "I"
794 "Nectophrynoides spp." NA "genus" "非洲胎生蟾蜍屬所有種" NA "I"
795 "Nimbaphrynoides spp." NA "genus" "寧巴山胎生蟾蜍屬所有種" NA "I"
796 "Adelphobates spp." NA "genus" "巴西果箭毒蛙屬所有種" NA "II"
797 "Ameerega spp." NA "genus" "彩腹箭毒蛙屬所有種" NA "II"
798 "Andrinobates spp." NA "genus" "紅寶石箭毒蛙屬所有種" NA "II"
799 "Dendrobates spp." NA "genus" "箭毒蛙屬所有種" NA "II"
800 "Epipedobates spp." NA "genus" "幽靈箭毒蛙屬所有種" NA "II"
801 "Excidobates spp." NA "genus" "斑點箭毒蛙屬所有種" NA "II"
802 "Hyloxalus azureiventris" "Synonym : Cryptophyllobates azureiventris" "species" "天藍箭毒蛙" NA "II"
803 "Minyobates spp." NA "genus" "侏儒箭毒蛙屬所有種" NA "II"
804 "Oophaga spp." NA "genus" "食卵箭毒蛙屬所有種" NA "II"
805 "Phyllobates spp." NA "genus" "葉箭毒蛙屬所有種" NA "II"
806 "Ranitomeya spp." NA "genus" "拇指箭毒蛙屬所有種" NA "II"
807 "Mantella spp." NA "genus" "曼蛙屬所有種" NA "II"
808 "Telmatobius culeus" NA "species" "的的喀喀湖蛙" NA "I"
809 "Dyscophus antongilii" NA "species" "安東吉利紅蛙" NA "II"
810 "Babina okinavana" "Synonym : Rana okinavana" "species" "豎琴蛙" NA "II"
811 "Hylarana taipehensis" "Synonym : Rana taipehensis" "species" "臺北赤蛙" NA "II"
812 "Pelophylax fukienensis" "Synonym : Rana plancyi" "species" "金線蛙" NA "III"
813 "Rhacophorus arvalis" NA "species" "諸羅樹蛙" NA "II"
814 "Rhacophorus aurantiventris" NA "species" "橙腹樹蛙" NA "II"
815 "Rhacophorus prasinatus" NA "species" "翡翠樹蛙" NA "III"
816 "Rhacophorus taipeianus" NA "species" "臺北樹蛙" NA "III"
817 "Andrias spp." NA "genus" "大鯢屬所有種" NA "I"
818 "Hynobius arisanensis" NA "species" "阿里山山椒魚" NA "II"
819 "Hynobius formosanus" NA "species" "臺灣山椒魚" NA "I"
820 "Hynobius fuca" NA "species" "觀霧山椒魚" NA "I"
821 "Hynobius glacialis" NA "species" "南湖山椒魚" NA "I"
822 "Hynobius sonani" NA "species" "楚南氏山椒魚" NA "I"
823 "Neurergus kaiseri" NA "species" "帝王蠑螈" NA "I"
824 "Hemimyzon taitungensis" NA "species" "臺東間爬岩鰍" NA "II"
825 "Sinogastromyzon nantaiensis" NA "species" "南臺中華爬岩鰍" NA "III"
826 "Sinogastromyzon puliensis" NA "species" "埔里中華爬岩鰍" NA "III"
827 "Chasmistes cujus" NA "species" "貴玉屈魚" NA "I"
828 "Metzia formosae" NA "species" "臺灣梅氏<U+9BFF>" "臺灣細<U+9BFF>" "III"
829 "Metzia mesembrinum" "Synonym : Metzia mesembrina" "species" "大鱗梅氏<U+9BFF>" NA "III"
830 "Pararasbora moltrechti" NA "species" "臺灣副細鯽" "臺灣白魚" "II"
831 "Probarbus jullieni" NA "species" "穗鬚原鯉" NA "I"
832 "Squalidus banarescui" NA "species" "巴氏銀鮈" NA "I"
833 "Squalidus iijimae" NA "species" "飯島氏銀鮈" NA "I"
834 "Scleropages formosus" NA "species" "龍魚" NA "I"
835 "Oncorhynchus masou" NA "species" "櫻花鉤吻鮭" NA "I"
836 "Liobagrus formosanus" NA "species" "臺灣<U+9BB0>" NA "III"
837 "Pangasianodon gigas" NA "species" "湄公河大鯰" NA "I"
838 "Buprestis mirabilis" NA "species" "妖艷吉丁蟲" NA "II"
839 "Hemadius oenochrous" "Synonym : Aeolesthes oenochrous" "species" "霧社血斑天牛" NA "III"
840 "Eupyrgops waltonianus" "Synonym : Kashotonus multipunctatus" "species" "碎斑硬象鼻蟲" NA "II"
841 "Pachyrhynchus chlorites" "Synonym : Pachyrrhynchus insularis" "species" "白點球背象鼻蟲" NA "II"
842 "Pachyrhynchus nobilis yamianus" "Synonym : Pachyrrhynchus yamianus" "infraspecies" "斷紋球背象鼻蟲" NA "II"
843 "Pachyrhynchus sarcitis kotoensis" "Synonym : Pachyrrhynchus kotoensis" "infraspecies" "大圓斑球背象鼻蟲" NA "II"
844 "Pachyrhynchus sonani" "Synonym : Pachyrrhynchus sonani" "species" "條紋球背象鼻蟲" NA "II"
845 "Pachyrhynchus tobafolius" "Synonym : Pachyrrhynchus tobafolius" "species" "小圓斑球背象鼻蟲" NA "II"
846 "Campsosternus watanabei" NA "species" "虹彩叩頭蟲" "彩虹叩頭蟲" "II"
847 "Aquatica hydrophila" "Synonym : Luciola hydrophila" "species" "黃胸黑翅螢" NA "II"
848 "Pristolycus kanoi" NA "species" "鹿野氏黑脈螢" NA "II"
849 "Dorcus curvidens formosanus" "Synonym : Dorcus formosanus" "infraspecies" "臺灣大鍬形蟲" NA "III"
850 "Dorcus schenklingi" NA "species" "長角大鍬形蟲" NA "II"
851 "Cheirotonus formosanus" "Synonym : Cheirotonus macleayi" "species" "臺灣長臂金龜" NA "III"
852 "Formotosena seebohmi" NA "species" "臺灣爺蟬" NA "II"
853 "Sasakia charonda" NA "species" "大紫蛺蝶" NA "I"
854 "Papilio maraho" "Synonym : Agehana maraho" "species" "寬尾鳳蝶" NA "I"
855 "Atrophaneura horishana" NA "species" "曙鳳蝶" NA "III"
856 "Ornithoptera alexandrae" NA "species" "雅麗珊卓女王鳥翼蝶" "女王亞歷山大巨鳳蝶" "I"
857 "Papilio chikae" NA "species" "呂宋鳳蝶" NA "I"
858 "Papilio homerus" NA "species" "荷馬鳳蝶" "荷西鳳蝶" "I"
859 "Troides aeacus" NA "species" "黃裳鳳蝶" NA "III"
860 "Troides magellanus" NA "species" "珠光鳳蝶" NA "I"
861 "Anotogaster klossi" "Synonym : Anotogaster sieboldii" "species" "無霸勾蜓" NA "II"
862 "Phyllophorina kotoshoensis" NA "species" "蘭嶼大葉螽蟴" NA "III"
863 "Megacrania tsudai" NA "species" "津田氏大頭竹節蟲" NA "II"
864 "Birgus latro" NA "species" "椰子蟹" "八卦蟹" "II"
865 "Conradilla caelata" NA "species" "鳥翼真珠蚌" NA "I"
866 "Dromus dromas" NA "species" "單峰駱駝真珠蚌" NA "I"
867 "Epioblasma curtisi" NA "species" "短真珠蚌" NA "I"
868 "Epioblasma florentina" NA "species" "黃花真珠蚌" NA "I"
869 "Epioblasma sampsonii" NA "species" "辛布森氏真珠蚌" NA "I"
870 "Epioblasma sulcata perobliqua" NA "infraspecies" "白貓爪真珠蚌" NA "I"
871 "Epioblasma torulosa gubernaculum" NA "infraspecies" "綠花真珠蚌" NA "I"
872 "Epioblasma torulosa torulosa" NA "infraspecies" "瘤花真珠蚌" NA "I"
873 "Epioblasma turgidula" NA "species" "大花真珠蚌" NA "I"
874 "Epioblasma walkeri" NA "species" "棕花真珠蚌" NA "I"
875 "Fusconaia cuneolus" NA "species" "細線豬趾真珠蚌" NA "I"
876 "Fusconaia edgariana" NA "species" "閃爍豬趾真珠蚌" NA "I"
877 "Lampsilis higginsii" NA "species" "何金氏真珠蚌" NA "I"
878 "Lampsilis orbiculata orbiculata" NA "infraspecies" "粉紅真珠蚌" NA "I"
879 "Lampsilis satur" NA "species" "素袖珍真珠蚌" NA "I"
880 "Lampsilis virescens" NA "species" "阿拉巴馬真珠蚌" NA "I"
881 "Plethobasus cicatricosus" NA "species" "白疙瘩真珠蚌" NA "I"
882 "Plethobasus cooperianus" NA "species" "橘足疙瘩真珠蚌" NA "I"
883 "Pleurobema plenum" NA "species" "粗豬趾真珠蚌" NA "I"
884 "Potamilus capax" NA "species" "肥袖珍真珠蚌" NA "I"
885 "Quadrula intermedia" NA "species" "康布蘭德猴面真珠蚌" NA "I"
886 "Quadrula sparsa" NA "species" "阿帕拉契山猴面真珠蚌" NA "I"
887 "Toxolasma cylindrella" NA "species" "侏儒真珠蚌" NA "I"
888 "Unio nickliniana" NA "species" "尼克林氏真珠蚌" NA "I"
889 "Unio tampicoensis tecomatensis" NA "infraspecies" "墨西哥真珠蚌" NA "I"
890 "Villosa trabalis" NA "species" "康布蘭德豆真珠蚌" NA "I"
891 "Achatinella spp." NA "genus" "小瑪瑙螺屬所有種" NA "I"
892 "Enhydra spp." "Except the species included in Endangered Species" "genus" "海獺屬所有種" "瀕臨絕種物種除外" "II"
893 "Enhydra lutris nereis" NA "infraspecies" "南方海獺" NA "I"
894 "Lontra felina" NA "species" "秘魯水獺" "貓獺、海獺" "I"
895 "Arctocephalus spp." "Except the species included in EndangeredSpecies" "genus" "南方海獅屬所有種" "瀕臨絕種物種除外" "II"
896 "Arctocephalus townsendi" NA "species" "奎達路海獅" NA "I"
897 "Mirounga leonine" NA "species" "象鼻海豹" NA "II"
898 "Monachus spp." NA "genus" "僧侶海豹屬所有種" NA "I"
899 "CETACEA spp." "Except the species included in Endangered Species" "order" "鯨目所有種" "瀕臨絕種物種除外" "II"
900 "Balaena mysticetus" NA "species" "北極鯨" NA "I"
901 "Eubalaena spp." NA "genus" "北極鯨屬所有種" NA "I"
902 "Balaenoptera acutorostrata" NA "species" "小鬚鯨" NA "I"
903 "Balaenoptera bonaerensis" NA "species" "南極小鬚鯨" NA "I"
904 "Balaenoptera borealis" NA "species" "<U+9C2E>鯨" NA "I"
905 "Balaenoptera edeni" NA "species" "鯷鯨" NA "I"
906 "Balaenoptera musculus" NA "species" "藍鯨" NA "I"
907 "Balaenoptera omurai" NA "species" "大村鯨" NA "I"
908 "Balaenoptera physalus" NA "species" "長須鯨" NA "I"
909 "Megaptera novaeangliae" NA "species" "大翅鯨" NA "I"
910 "Orcaella brevirostris" NA "species" "伊河海豚" NA "I"
911 "Orcaella heinsohni" NA "species" "矮鰭海豚" NA "I"
912 "Sotalia spp." NA "genus" "南美長吻海豚屬所有種" NA "I"
913 "Sousa spp." NA "genus" "白海豚屬所有種" NA "I"
914 "Sousa chinensis" NA "species" "中華白海豚" NA "I"
915 "Tursiops aduncus" NA "species" "印太瓶鼻海豚" NA "II"
916 "Tursiops truncates" "Synonym : Tursiops gillii" "species" "瓶鼻海豚" NA "II"
917 "Eschrichtius robustus" NA "species" "灰鯨" NA "I"
918 "Lipotes vexillifer" NA "species" "白鱀豚" NA "I"
919 "Caperea marginata" NA "species" "小露脊鯨" NA "I"
920 "Neophocaena phocaenoides" NA "species" "江豚" "露脊鼠海豚" "I"
921 "Phocoena sinus" NA "species" "加灣鼠海豚" NA "I"
922 "Physeter microcephalus" NA "species" "抹香鯨" NA "I"
923 "Platanista spp." NA "genus" "恒河豚屬所有種" NA "I"
924 "Berardius spp." NA "genus" "巨瓶鼻鯨屬所有種" NA "I"
925 "Hyperoodon spp." NA "genus" "瓶鼻鯨屬所有種" NA "I"
926 "Dugong dugon" NA "species" "印度太平洋儒艮" NA "I"
927 "Trichechus inunguis" NA "species" "亞馬遜海牛" NA "I"
928 "Trichechus manatus" NA "species" "北美海牛" NA "I"
929 "Trichechus senegalensis" NA "species" "非洲海牛" NA "I"
930 "Anous stolidus" NA "species" "玄燕鷗" NA "II"
931 "Larus relictus" NA "species" "遺鷗" NA "I"
932 "Onychoprion anaethetus" "Synonym : Sterna anaethetus" "species" "白眉燕鷗" NA "II"
933 "Saundersilarus saundersi" "Synonym : Larus saundersi" "species" "黑嘴鷗" NA "II"
934 "Sterna dougallii" NA "species" "紅燕鷗" "粉紅燕鷗" "II"
935 "Sterna sumatrana" NA "species" "蒼燕鷗" NA "II"
936 "Sternula albifrons" "Synonym : Sterna albifrons" "species" "小燕鷗" NA "II"
937 "Thalasseus bergii" "Synonym : Sterna bergii" "species" "鳳頭燕鷗" NA "II"
938 "Thalasseus bernsteini" "Synonym : Sterna bernsteini" "species" "黑嘴端鳳頭燕鷗" NA "I"
939 "Fregata andrewsi" NA "species" "白腹軍艦鳥" NA "I"
940 "Papasula abbotti" NA "species" "粉嘴鰹鳥" NA "I"
941 "Pelecanus crispus" NA "species" "卷羽鵜鶘" NA "I"
942 "Phoebastria albatrus" NA "species" "短尾信天翁" NA "I"
943 "Phoebastria nigripes" NA "species" "黑腳信天翁" NA "I"
944 "Spheniscus demersus" NA "species" "斑嘴環企鵝" NA "II"
945 "Spheniscus humboldti" NA "species" "洪氏環企鵝" NA "I"
946 "Amblyrhynchus cristatus" NA "species" "海鬣蜥" NA "II"
947 "Cheloniidae spp." NA "family" "蠵龜科所有種" NA "I"
948 "Caretta caretta" NA "species" "赤蠵龜" NA "I"
949 "Chelonia mydas" NA "species" "綠蠵龜" NA "I"
950 "Eretmochelys imbricata" NA "species" "玳瑁" NA "I"
951 "Lepidochelys olivacea" NA "species" "欖蠵龜" NA "I"
952 "Dermochelys coriacea" NA "species" "革龜" "稜皮龜" "I"
953 "Pristidae spp." NA "family" "鋸鰩科所有種" NA "I"
954 "Acipenser brevirostrum" NA "species" "短吻鱘" NA "I"
955 "Acipenser sturio" NA "species" "斑點鱘" NA "I"
956 "Cheilinus undulatus" NA "species" "曲紋唇魚" "波紋唇魚、龍王鯛、蘇眉魚" "II"
957 "Bolbometopon muricatum" NA "species" "隆頭鸚哥魚" "駝峰大鸚嘴魚" "II"
958 "Totoaba macdonaldi" NA "species" "加州犬形黃花魚" NA "I"
959 "Latimeria spp." NA "genus" "腔棘魚屬所有種" NA "I"
960 "Polycyathus chaishanensis" NA "species" "柴山多杯孔珊瑚" NA "I"
961 "Pseudosiderastrea formosa" NA "species" "福爾摩沙偽絲珊瑚" NA "I"
