"Protected species list number" "Scientific name" "note" "rank" "Chinese common name" "note_chinese" "Protected Species category"
298 "Ciconia nigra" NA "species" "黑鸛" NA "II"
299 "Jabiru mycteria" NA "species" "裸頸鸛" NA "I"
300 "Mycteria cinerea" NA "species" "南美鸛" NA "I"
301 "Phoenicopteridae spp." NA "family" "紅鶴科所有種" NA "II"
302 "Eudocimus ruber" NA "species" "紅<U+9E6E>" NA "II"
303 "Geronticus calvus" NA "species" "禿<U+9E6E>" NA "II"
304 "Geronticus eremita" NA "species" "隱<U+9E6E>" NA "I"
305 "Nipponia nippon" NA "species" "朱<U+9E6E>" NA "I"
306 "Platalea leucorodia" NA "species" "白琵鷺" NA "II"
307 "Platalea minor" NA "species" "黑面琵鷺" NA "I"
308 "Threskiornis melanocephalus" "Synonym : Threskiornis melanocepha" "species" "黑頭白<U+9E6E>" NA "II"
309 "Caloenas nicobarica" NA "species" "尼可巴鴿" NA "I"
310 "Ducula mindorensis" NA "species" "紅喉皇鳩" NA "I"
311 "Gallicolumba luzonica" NA "species" "呂宋雞鳩" NA "II"
312 "Goura spp." NA "genus" "鳳冠鳩屬所有種" NA "II"
313 "Treron formosae" NA "species" "紅頭綠鳩" NA "II"
314 "Macropygia tenuirostris" NA "species" "長尾鳩" NA "III"
315 "Aceros spp." "Except the species included in Endangered Species" "genus" "盔犀鳥屬所有種" "瀕臨絕種物種除外" "II"
316 "Aceros nipalensis" NA "species" "棕頸犀鳥" NA "I"
317 "Anorrhinus spp." NA "genus" "鳳頭犀鳥屬所有種" NA "II"
318 "Anthracoceros spp." NA "genus" "斑犀鳥屬所有種" NA "II"
319 "Berenicornis spp." NA "genus" "冠犀鳥屬所有種" NA "II"
320 "Buceros spp." "Except the species included in Endangered Species" "genus" "犀鳥屬所有種" "瀕臨絕種物種除外" "II"
321 "Buceros bicornis" NA "species" "雙角犀鳥" NA "I"
322 "Penelopides spp." NA "genus" "斑嘴犀鳥屬所有種" NA "II"
323 "Rhinoplax vigil" NA "species" "鋼盔犀鳥" NA "I"
324 "Rhyticeros spp." "Except the species included in Endangered Species" "genus" "皺盔犀鳥屬所有種" "瀕臨絕種物種除外" "II"
325 "Rhyticeros subruficollis" NA "species" "赤頸犀鳥" NA "I"
326 "Tauraco spp." NA "genus" "冠蕉鵑屬所有種" NA "II"
327 "FALCONIFORMES spp." "Except the species included in Endangered Species" "order" "隼形目所有種" "瀕臨絕種物種除外" "II"
328 "Accipiter gularis" NA "species" "日本松雀鷹" NA "II"
329 "Accipiter nisus" NA "species" "北雀鷹" NA "II"
330 "Accipiter soloensis" NA "species" "赤腹鷹" NA "II"
331 "Accipiter trivirgatus" NA "species" "鳳頭蒼鷹" NA "II"
332 "Accipiter virgatus" NA "species" "松雀鷹" "雀鷹" "II"
333 "Aquila adalberti" NA "species" "西班牙白肩鵰" NA "I"
334 "Aquila heliacal" NA "species" "白肩鵰" NA "I"
335 "Butastur indicus" NA "species" "灰面鵟鷹" "灰面鷲" "II"
336 "Buteo buteo" NA "species" "鵟" NA "II"
337 "Chondrohierax uncinatus wilsonii" NA "infraspecies" "鉤嘴鳶" NA "I"
338 "Circus cyaneus" NA "species" "灰澤鵟" "灰鷂" "II"
339 "Circus melanoleucos" NA "species" "花澤鵟" "鵲鷂" "II"
340 "Circus spilonotus" NA "species" "澤鵟" "東方澤鵟、東方澤鷂" "II"
341 "Elanus caeruleus" NA "species" "黑翅鳶" NA "II"
342 "Haliaeetus albicilla" NA "species" "白尾海鵰" NA "I"
343 "Harpia harpyja" NA "species" "角鵰" NA "I"
344 "Ictinaetus malayensis" NA "species" "林鵰" NA "II"
345 "Milvus migrans" NA "species" "黑鳶" "老鷹" "II"
346 "Pandion haliaetus" NA "species" "魚鷹" NA "II"
347 "Pernis ptilorhynchus" NA "species" "東方蜂鷹" "蜂鷹、雕頭鷹" "II"
348 "Pithecophaga jefferyi" NA "species" "食猿鵰" NA "I"
349 "Spilornis cheela" NA "species" "大冠鷲" NA "II"
350 "Nisaetus nipalensis" "Synonym : Spizaetus nipalensis" "species" "赫氏角鷹" "熊鷹" "I"
351 "Gymnogyps californianus" NA "species" "加州神鷲" NA "I"
352 "Vultur gryphus" NA "species" "安地斯神鷲" NA "I"
353 "Falco araeus" NA "species" "塞昔爾隼" NA "I"
354 "Falco jugger" NA "species" "印度獵隼" NA "I"
355 "Falco pelegrinoides" NA "species" "擬遊隼" NA "I"
356 "Falco peregrinus" NA "species" "遊隼" "隼" "II"
357 "Falco punctatus" NA "species" "模里西斯隼" NA "I"
358 "Falco rusticolus" NA "species" "矛隼" NA "I"
359 "Falco subbuteo" NA "species" "燕隼" NA "II"
360 "Falco tinnunculus" NA "species" "紅隼" NA "II"
361 "Crax blumenbachii" NA "species" "紅嘴鳳冠雉" NA "I"
362 "Mitu mitu" NA "species" "大刀嘴鳳冠雉" NA "I"
363 "Oreophasis derbianus" NA "species" "角冠雉" NA "I"
364 "Penelope albipennis" NA "species" "白翅冠雉" NA "I"
365 "Pipile jacutinga" NA "species" "黑額鳴冠雉" NA "I"
366 "Pipile pipile" NA "species" "鳴冠雉" NA "I"
367 "Macrocephalon maleo" NA "species" "蘇拉威西塚雉" NA "I"
368 "Arborophila crudigularis" NA "species" "臺灣山鷓鴣" "深山竹雞" "III"
369 "Argusianus argus" NA "species" "青鸞" NA "II"
370 "Catreus wallichii" NA "species" "彩雉" NA "I"
