"auto_id" "taxon_name" "name_c" "category" "version" "criteria" "adjusting" "taxon_group" "name_code"
108 "Terpsiphone atrocaudata periophthalmica" "紫綬帶" "NNT" "v1080131" "B2a" NA "bird" "420270"
109 "Sittiparus castaneoventris" "赤腹山雀" "NNT" "v1080131" "B1b(v)" NA "bird" "432166"
110 "Parus monticolus insperatus" "青背山雀" "NNT" "v1080131" "B1b(v)" NA "bird" "380416"
111 "Parus holsti" "黃山雀" "NNT" "v1080131" "A2a; B1b(v); C1" NA "bird" "432368"
112 "Troglodytes troglodytes taivanus" "鷦鷯" "NNT" "v1080131" "B1b(i, v); C1" NA "bird" "380310"
113 "Cettia acanthizoides concolor" "深山鶯" "NNT" "v1080131" "B1b(i)" NA "bird" "428584"
114 "Bradypterus alishanensis" "台灣叢樹鶯" "NNT" "v1080131" "A2(a); B1b(i, v)" NA "bird" "428588"
115 "Prinia crinigera striata" "斑紋鷦鶯" "NNT" "v1080131" "A2b" NA "bird" "425224"
116 "Alcippe formosana" "褐頭花翼" "NNT" "v1080131" "B1b(i, v)" NA "bird" "425189"
117 "Paradoxornis webbianus bulomacha" "粉紅鸚嘴" "NNT" "v1080131" "A2b" NA "bird" "432369"
118 "Garrulax ruficeps" "台灣白喉噪眉" "NNT" "v1080131" "D" NA "bird" "428595"
119 "Brachypteryx montana goodfellowi" "小翼鶇" "NNT" "v1080131" "A2a; B1b(ii, v)" NA "bird" "380372"
120 "Turdus poliocephalus niveiceps" "白頭鶇" "NNT" "v1080131" "B1c(ii)+2c(i); D" NA "bird" "380408"
121 "Gallinula chloropus" "紅冠水雞" "NLC" "v1080131" "A" NA "bird" "380299"
122 "Recurvirostra avosetta" "反嘴<U+9D34>" "NLC" "v1080131" "A" NA "bird" "380149"
123 "Cuculus sparverioides" "鷹鵑" "NLC" "v1080131" "A" NA "bird" "432251"
124 "Otus sunia" "東方角鴞" "NLC" "v1080131" "A" NA "bird" "404622"
125 "Arborophila crudigular" "台灣山鷓鴣" "NLC" "v1080131" "A; B" NA "bird" "380285"
126 "Bambusicola sonorivox" "台灣竹雞" "NLC" "v1080131" "A; B" NA "bird" "419874"
127 "Tachybaptus ruficollis" "小<U+9E0A><U+9DC9>" "NLC" "v1080131" "A; B" NA "bird" "380198"
128 "Elanus caeruleus" "黑翅鳶" "NLC" "v1080131" "A; B" NA "bird" "404578"
129 "Spilornis cheela hoya" "大冠鷲" "NLC" "v1080131" "A; B; C; D" NA "bird" "380117"
130 "Anous stolidus" "玄燕鷗" "NLC" "v1080131" "A; B; C; D" NA "bird" "380164"
131 "Onychoprion anaethetus" "白眉燕鷗" "NLC" "v1080131" "A; B; C; D" NA "bird" "425232"
132 "Sterna dougallii" "紅燕鷗" "NLC" "v1080131" "A; B; C; D" NA "bird" "380182"
133 "Sterna sumatrana" "蒼燕鷗" "NLC" "v1080131" "A; B; C; D" NA "bird" "380186"
134 "Thalasseus bergii" "鳳頭燕鷗" "NLC" "v1080131" "A; B; C; D" NA "bird" "420056"
135 "Pica pica" "喜鵲" "NLC" "v1080131" "A; B; C; D" NA "bird" "380334"
136 "Parus ater ptilosus" "煤山雀" "NLC" "v1080131" "A; B; C; D" NA "bird" "419676"
137 "Muscicapa ferruginea" "紅尾鶲" "NLC" "v1080131" "A; B; C; D" NA "bird" "380388"
138 "Carpodacus formosanus" "台灣朱雀" "NLC" "v1080131" "A; B; C; D" NA "bird" "425192"
139 "Passer montanus" "麻雀" "NLC" "v1080131" "A; B; C; D" NA "bird" "404623"
140 "Lonchura striata" "白腰文鳥" "NLC" "v1080131" "A; B; C; D" NA "bird" "380427"
141 "Lonchura punctulata" "斑文鳥" "NLC" "v1080131" "A; B; C; D" NA "bird" "380426"
142 "Dendrocopos canicapillus" "小啄木" "NLC" "v1080131" "A; B; D" NA "bird" "380491"
143 "Regulus goodfellowi" "火冠戴菊鳥" "NLC" "v1080131" "A; B; D" NA "bird" "380442"
144 "Garrulax morrisonianus" "台灣噪眉" "NLC" "v1080131" "A; B; D" NA "bird" "428598"
145 "Niltava vivida vivida" "黃腹琉璃" "NLC" "v1080131" "A; B; D" NA "bird" "425216"
146 "Tarsiger johnstoniae" "栗背林鴝" "NLC" "v1080131" "A; B; D" NA "bird" "419684"
147 "Rhyacornis fuliginosa affinis" "鉛色水鶇" "NLC" "v1080131" "A; B; D" NA "bird" "425227"
148 "Dicaeum ignipectus formosum" "紅胸啄花" "NLC" "v1080131" "A; B; D" NA "bird" "428600"
149 "Gelochelidon nilotica" "鷗嘴燕鷗" "NLC" "v1080131" "A; C" NA "bird" "431225"
150 "Phalacrocorax carbo" "鸕<U+9E5A>" "NLC" "v1080131" "A; C; D" NA "bird" "380193"
151 "Merops philippinus" "栗喉蜂虎" "NLC" "v1080131" "A; C; D" NA "bird" "419642"
152 "Acridotheres cristatellus" "八哥" "NLC" "v1080131" "A; C; D" NA "bird" "380445"
153 "Accipiter virgatus fuscipectus" "松雀鷹" "NLC" "v1080131" "A; D" NA "bird" "380101"
154 "Butastur indicus" "灰面鵟鷹" "NLC" "v1080131" "A; D" NA "bird" "380105"
155 "Amaurornis phoenicurus" "白腹秧雞" "NLC" "v1080131" "A; D" NA "bird" "380296"
156 "Turnix suscitator rostratus" "棕三趾鶉" "NLC" "v1080131" "A; D" NA "bird" "380509"
157 "Sterna hirundo" "燕鷗" "NLC" "v1080131" "A; D" NA "bird" "380184"
158 "Columba pulchricollis" "灰林鴿" "NLC" "v1080131" "A; D" NA "bird" "380263"
159 "Streptopelia orientalis orii" "金背鳩" "NLC" "v1080131" "A; D" NA "bird" "380267"
160 "Streptopelia tranquebarica" "紅鳩" "NLC" "v1080131" "A; D" NA "bird" "380268"
161 "Spilopelia chinensis" "珠頸斑鳩" "NLC" "v1080131" "A; D" NA "bird" "380266"
162 "Chalcophaps indica" "翠翼鳩" "NLC" "v1080131" "A; D" NA "bird" "380261"
163 "Treron sieboldii" "綠鳩" "NLC" "v1080131" "A; D" NA "bird" "432249"
164 "Centropus bengalensis" "番鵑" "NLC" "v1080131" "A; D" NA "bird" "380278"
165 "Otus spilocephalus pithecops" "黃嘴角鴞" "NLC" "v1080131" "A; D" NA "bird" "380505"
166 "Otus lettia glabripes" "領角鴞" "NLC" "v1080131" "A; D" NA "bird" "419715"
167 "Ninox japonica" "褐鷹鴞" "NLC" "v1080131" "A; D" NA "bird" "425217"
168 "Alcedo atthis" "翠鳥" "NLC" "v1080131" "A; D" NA "bird" "380272"
169 "Psilopogon nuchalis" "五色鳥" "NLC" "v1080131" "A; D" NA "bird" "430649"
170 "Erpornis zantholeuca" "綠畫眉" "NLC" "v1080131" "A; D" NA "bird" "425240"
171 "Oriolus traillii ardens" "朱鸝" "NLC" "v1080131" "A; D" NA "bird" "380331"
172 "Dicrurus macrocercus harterti" "大卷尾" "NLC" "v1080131" "A; D" NA "bird" "420271"
173 "Dicrurus aeneus braunianus" "小卷尾" "NLC" "v1080131" "A; D" NA "bird" "380324"
174 "Hypothymis azurea oberholseri" "黑枕藍鶲" "NLC" "v1080131" "A; D" NA "bird" "380328"
175 "Urocissa caerulea" "台灣藍鵲" "NLC" "v1080131" "A; D" NA "bird" "380336"
176 "Dendrocitta formosae formosae" "樹鵲" "NLC" "v1080131" "A; D" NA "bird" "380323"
177 "Nucifraga caryocatactes owstoni" "星鴉" "NLC" "v1080131" "A; D" NA "bird" "380329"
178 "Corvus macrorhynchos" "巨嘴鴉" "NLC" "v1080131" "A; D" NA "bird" "380321"
179 "Alauda gulgula" "小雲雀" "NLC" "v1080131" "A; D" NA "bird" "380308"
180 "Hirundo rustica" "家燕" "NLC" "v1080131" "A; D" NA "bird" "380362"
181 "Hirundo tahitica" "洋燕" "NLC" "v1080131" "A; D" NA "bird" "380364"
182 "Hirundo daurica" "赤腰燕" "NLC" "v1080131" "A; D" NA "bird" "404560"
