"auto_id" "taxon_name" "name_c" "redlist_taxon_rank" "category" "version" "criteria" "adjusting" "taxon_group" "name_code" "TBN_scientific_name" "Different_scientific_name" "TBN_taxon_rank" "tp_tid" "ra_tid" "uuid"
56 "Passer rutilans" "山麻雀" "species" "NEN" "v1080131" "B2b(iii)+c(ii); C2a(i)" NA "bird" "380434" "Passer rutilans" NA "species" 1025140 1025140 "50cdf9b2-217c-44e3-94a0-755d0810ffc3"
57 "Aix galericulata" "鴛鴦" "species" "NVU" "v1080131" "D" NA "bird" "380056" "Aix galericulata" NA "species" 380056 380056 "76ccc3a9-51b0-4cda-9685-f997e722569c"
58 "Mareca falcata" "羅文鴨" "species" "NVU" "v1080131" "D" "[-1]" "bird" "380061" "Anas falcata" "Anas falcata" "species" 380061 380061 "c9e4084a-8d54-437b-bd05-8d27532139c6"
59 "Anas crecca" "小水鴨" "species" "NVU" "v1080131" "A2a" "[-1]" "bird" "380060" "Anas crecca" NA "species" 1023555 1023555 "32c10708-3ffd-4f51-8ac5-ea5d44fa62d0"
60 "Egretta eulophotes" "唐白鷺" "species" "NVU" "v1080131" "D" "[-1]" "bird" "380128" "Egretta eulophotes" NA "species" 380128 380128 "f5dfc0e5-6e0e-49a6-8b5e-d1c17e8c246d"
61 "Milvus migrans lineatus" "黑鳶(大陸亞種)" "infraspecies" "NVU" "v1080131" "D" NA "bird" NA "Milvus migrans" NA "infraspecies" 432225 432225 "869544b3-aede-40ef-bec8-a2f05484b9e3"
61 "Milvus migrans formosanus" "黑鳶(台灣亞種)" "infraspecies" "NVU" "v1080131" "D" NA "bird" NA "Milvus migrans" NA "infraspecies" 404610 404610 "a04e4fd0-703a-418e-8aa7-2948c0d0468d"
61 "Milvus migrans" "黑鳶" "species" "NVU" "v1080131" "D" NA "bird" "404610" "Milvus migrans" NA "species" 1024812 1024812 "3343e3a4-9f28-4f12-81c3-44853ece0b9c"
62 "Gallicrex cinerea" "董雞" "species" "NVU" "v1080131" "D" "[-1]" "bird" "380298" "Gallicrex cinerea" NA "species" 380298 380298 "e67a95bb-ad16-4e67-b2a8-d962efd5f30f"
63 "Hydrophasianus chirurgus" "水雉" "species" "NVU" "v1080131" "D" NA "bird" "380163" "Hydrophasianus chirurgus" NA "species" 380163 380163 "3ee45f50-97fe-4a84-b1a5-2e6d4d72c041"
64 "Numenius arquata" "大杓鷸" "species" "NVU" "v1080131" "C1" "[-1]" "bird" "380235" "Numenius arquata" NA "species" 1024943 1024943 "2a1632b8-e6a2-41da-a4ad-786a156068e0"
65 "Limosa limosa" "黑尾鷸" "species" "NVU" "v1080131" "C1" "[-1]" "bird" "380232" "Limosa limosa" NA "species" 1024659 1024659 "ff6050fa-cdd6-4ed1-9fcc-b7669c86a1b5"
66 "Limosa lapponica menzbieri" "斑尾鷸(中部亞種)" "infraspecies" "NVU" "v1080131" "C1" "[-1]" "bird" NA "Limosa lapponica" NA "infraspecies" 432229 432229 "e19ce850-d71b-4fd8-95cf-15ee3fc6f6b1"
66 "Limosa lapponica baueri" "斑尾鷸(東部亞種)" "infraspecies" "NVU" "v1080131" "C1" "[-1]" "bird" NA "Limosa lapponica" NA "infraspecies" 380231 380231 "82dcdb31-782c-4dc4-a926-9c53011a355e"
66 "Limosa lapponica" "斑尾鷸" "species" "NVU" "v1080131" "C1" "[-1]" "bird" "380231" "Limosa lapponica" NA "species" 1024658 1024658 "0f11f4ca-c4f7-46c0-9c9e-11e58d0d4912"
67 "Calidris canutus rogersi" "紅腹濱鷸(東部亞種)" "infraspecies" "NVU" "v1080131" "A2a;C1" "[-1]" "bird" NA "Calidris canutus" NA "infraspecies" 432230 432230 "e3c6f6c3-a25c-4403-bb06-56ebe6b6a785"
67 "Calidris canutus piersmai" "紅腹濱鷸(中部亞種)" "infraspecies" "NVU" "v1080131" "A2a;C1" "[-1]" "bird" NA "Calidris canutus" NA "infraspecies" 432231 432231 "9a4a5a63-8411-42ab-a955-451dadfbb1bf"
67 "Calidris canutus" "紅腹濱鷸" "species" "NVU" "v1080131" "A2a;C1" "[-1]" "bird" "432230" "Calidris canutus" NA "species" 1023790 1023790 "c4807bca-e6c0-4dfa-9ae3-3b3050e85a0d"
68 "Calidris temminckii" "丹氏濱鷸" "species" "NVU" "v1080131" "C1" "[-1]" "bird" "380221" "Calidris temminckii" NA "species" 380221 380221 "8f2d01e3-4ecc-425b-8afb-fbc9daf982d2"
69 "Calidris ruficollis" "紅胸濱鷸" "species" "NVU" "v1080131" "A2a; C1" "[-1]" "bird" "380219" "Calidris ruficollis" NA "species" 380219 380219 "d6d34aa8-6583-4f69-832b-153ef87b9058"
70 "Calidris alpina sakhalina" "黑腹濱鷸(北部亞種)" "infraspecies" "NVU" "v1080131" "A2a" "[-1]" "bird" NA "Calidris alpina" NA "infraspecies" 432232 432232 "d0abbcfa-96bf-4fbd-b886-d153129c608d"
70 "Calidris alpina kistchinsk" "黑腹濱鷸(千島亞種)" "infraspecies" "NVU" "v1080131" "A2a" "[-1]" "bird" NA "Calidris alpina" NA "infraspecies" 432233 432233 "ebf8dbe0-2d87-48f4-be19-c55fd5dd9117"
