"","auto_id","Scientific.name_TBNinfra","Scientific.name_RLinfra","Chinese.common.name_RL","category_TWRL","Version","criteria_TWRL","taxon_group_TWRL","name_code_TWRL","taxon_rank_TWRL","tp_tid_infra","ra_tid_infra","taibnet_namecode_infra","uuid_infra","rank_infra","Scientific.name_TBN","Scientific.name_RL","tp_tid_species","ra_tid_species","taibnet_namecode_species","uuid_species","rank_species"
"23",23,"Babina adenopleura","Babina adenopleura","腹斑蛙","NLC","v1080131"," ","amphibian","380029","species",380029,380029,380029,"0ca5399a-baf8-4432-9d3e-cb1bd7e777cb","species","Babina adenopleura","Babina adenopleura",380029,380029,380029,"0ca5399a-baf8-4432-9d3e-cb1bd7e777cb","species"
"24",24,"Hylarana guentheri","Hylarana guentheri","貢德氏赤蛙","NLC","v1080131"," ","amphibian","416165","species",416165,416165,416165,"c148e475-a3e7-4bfa-a7c3-31c2de13e5b8","species","Hylarana guentheri","Hylarana guentheri",416165,416165,416165,"c148e475-a3e7-4bfa-a7c3-31c2de13e5b8","species"
"25",25,"Hylarana latouchii","Hylarana latouchii","拉都希氏赤蛙","NLC","v1080131"," ","amphibian","416651","species",416651,416651,416651,"c201ef4b-c647-432e-bd82-0b60f45f0f4b","species","Hylarana latouchii","Hylarana latouchii",416651,416651,416651,"c201ef4b-c647-432e-bd82-0b60f45f0f4b","species"
"26",26,"Odorrana swinhoana","Odorrana swinhoana","斯文豪氏赤蛙","NLC","v1080131"," ","amphibian","416663","species",416663,416663,416663,"7bbcda01-2d82-4894-b571-26d33affc4d7","species","Odorrana swinhoana","Odorrana swinhoana",416663,416663,416663,"7bbcda01-2d82-4894-b571-26d33affc4d7","species"
"27",27,"Pseudoamolops sauteri","Rana sauteri","梭德氏赤蛙","NLC","v1080131"," ","amphibian","380038","species",380038,380038,380038,"7c5aabc4-90cc-442a-b4de-ce382cc2bb48","species","Pseudoamolops sauteri","Rana sauteri",380038,380038,380038,"7c5aabc4-90cc-442a-b4de-ce382cc2bb48","species"
"28",28,"Buergeria japonica","Buergeria japonica","日本樹蛙","NLC","v1080131"," ","amphibian","380043","species",380043,380043,380043,"568ba3b8-0071-4ed7-b3ac-a6a9cb791873","species","Buergeria japonica","Buergeria japonica",380043,380043,380043,"568ba3b8-0071-4ed7-b3ac-a6a9cb791873","species"
"29",29,"Buergeria robusta","Buergeria robusta","褐樹蛙","NLC","v1080131"," ","amphibian","380044","species",380044,380044,380044,"4eecc993-1f40-4c39-a245-4943530e4fb7","species","Buergeria robusta","Buergeria robusta",380044,380044,380044,"4eecc993-1f40-4c39-a245-4943530e4fb7","species"
"30",30,"Kurixalus idiootocus","Kurixalus idiootocus","面天樹蛙","NLC","v1080131"," ","amphibian","380046","species",380046,380046,380046,"483cec07-4b28-4ddb-a0a6-13788def5ec5","species","Kurixalus idiootocus","Kurixalus idiootocus",380046,380046,380046,"483cec07-4b28-4ddb-a0a6-13788def5ec5","species"
"31",31,"Polypedates braueri","Polypedates braueri","布氏樹蛙","NLC","v1080131"," ","amphibian","422106","species",422106,422106,422106,"54423ea5-09c1-4e01-abae-24cece5c3918","species","Polypedates braueri","Polypedates braueri",422106,422106,422106,"54423ea5-09c1-4e01-abae-24cece5c3918","species"
"32",32,"Rhacophorus moltrechti","Rhacophorus moltrechti","莫氏樹蛙","NLC","v1080131"," ","amphibian","380050","species",380050,380050,380050,"174930ef-4c05-4db5-801d-700f00bcf311","species","Rhacophorus moltrechti","Rhacophorus moltrechti",380050,380050,380050,"174930ef-4c05-4db5-801d-700f00bcf311","species"
"33",33,"Microhyla butleri","Microhyla butleri","巴氏小雨蛙","NDD","v1080131"," ","amphibian","380025","species",380025,380025,380025,"a0499d8b-42ee-4fd4-ab4a-f60138d4ed07","species","Microhyla butleri","Microhyla butleri",380025,380025,380025,"a0499d8b-42ee-4fd4-ab4a-f60138d4ed07","species"
