"Scientific name_TBN" "Scientific name_PSL" "Chinese common name_PSL" "Chinese common name_PSL_note" "protected_status" "Version" "tp_tid" "taibnet_namecode" "uuid" "protect species list number" "rank_PSL"
"Ara ararauna" "Ara ararauna" "藍黃金剛鸚鵡" NA "II" "v1080109" 417958 417958 "965f9a14-efab-470e-9e42-d035638c8daf" "531" "species"
"Psittacus erithacus" "Psittacus erithacus" "灰鸚鵡" NA "I" "v1080109" 417808 417808 "c24cf121-0cdd-460a-94db-95ce58023e8a" "561" "species"
"Asio flammeus" "Asio flammeus" "短耳鴞" NA "II" "v1080109" 1023655 NA "e950df7d-5c0b-44cd-acd0-62e177f1aed1" "568" "species"
"Asio otus" "Asio otus" "長耳鴞" NA "II" "v1080109" 1023656 NA "04ea905b-a40d-4e91-a7b7-3f7511129623" "569" "species"
"Glaucidium brodiei" "Glaucidium brodiei" "鵂鶹" NA "II" "v1080109" 1024414 NA "71395c68-21ca-4ee6-9ebd-f696c9ebd842" "570" "species"
"Ketupa flavipes" "Ketupa flavipes" "黃魚鴞" NA "II" "v1080109" 380500 380500 "5f971330-67d7-4261-b0bc-08e2b3dc158f" "572" "species"
"Ninox japonica" "Ninox japonica" "褐鷹鴞" NA "II" "v1080109" 1024923 NA "8f515304-fd5c-4841-b05f-8caab8268021" "574" "species"
"Otus lettia" "Otus lettia" "領角鴞" NA "II" "v1080109" 1025028 NA "49860672-4a66-4331-9640-5fe4734651ab" "577" "species"
"Otus spilocephalus" "Otus spilocephalus" "黃嘴角鴞" NA "II" "v1080109" 1025029 NA "9add3bef-0871-4552-bd18-7f6a254ad07d" "578" "species"
"Otus sunia" "Otus sunia" "東方角鴞" NA "II" "v1080109" 1025030 NA "c1927c41-b4d2-4726-8614-e3f34a3dee51" "579" "species"
"Strix leptogrammica" "Strix leptogrammica" "褐林鴞" NA "II" "v1080109" 1025563 NA "b7b91dca-368e-4e07-9f87-f5ee35ca2dbe" "580" "species"
"Strix nivicolum" "Strix nivicolum" "東方灰林鴞" "灰林鴞" "II" "v1080109" 1025564 NA "a945b668-8e84-4a1f-af0e-d5c52adc515d" "581" "species"
"Tyto longimembris" "Tyto longimembris" "草鴞" NA "I" "v1080109" 1025744 NA "a4ecadb1-8691-4853-9bcd-e136cabb6250" "582" "species"
"Japalura luei" "Japalura luei" "呂氏攀蜥" NA "II" "v1080109" 380622 380622 "b4a0f603-12e1-4f0e-8560-450ed055fa09" "604" "species"
"Japalura makii" "Japalura makii" "牧氏攀蜥" NA "II" "v1080109" 380623 380623 "56fd8f78-9bf8-4197-8453-a2db4b817962" "605" "species"
"Dopasia harti" "Dopasia harti" "哈特氏蛇蜥" "蛇蜥、臺灣蛇蜥" "II" "v1080109" 380627 380627 "6b3d895e-4eb2-45d2-b88d-a2d2342c8c6e" "606" "species"
"Gekko kikuchii" "Gekko kikuchii" "菊池氏壁虎" "蘭嶼守宮、菊池氏蚧蛤" "II" "v1080109" 380667 380667 "b918cdac-a9ef-4f60-b396-d3cad83ef45c" "624" "species"
"Lepidodactylus yami" "Lepidodactylus yami" "雅美鱗趾虎" "雅美鱗趾蝎虎" "II" "v1080109" 380674 380674 "6b9bc28a-2fce-4322-83bf-1020c36030a0" "625" "species"
"Takydromus sauteri" "Takydromus sauteri" "梭德氏草蜥" "南臺草蜥" "III" "v1080109" 380686 380686 "dfcd02f0-bb59-43e0-b035-f72509ec1822" "648" "species"
"Amphiesma miyajimae" "Amphiesma miyajimae" "金絲蛇" NA "I" "v1080109" 380630 380630 "00f89f81-f5dd-4593-b9cf-2fd5bd429694" "669" "species"
"Euprepiophis mandarinus" "Euprepiophis mandarinus" "高砂蛇" NA "III" "v1080109" 427266 427266 "dcdffc54-2f92-48ec-9543-c7f59f53d73f" "674" "species"
"Myrrophis chinensis" "Myrrophis chinensis" "唐水蛇" NA "II" "v1080109" 380642 380642 "acffe805-822f-4fce-bfd8-fdd8bd096319" "675" "species"
"Rhabdophis swinhonis" "Rhabdophis swinhonis" "斯文豪氏游蛇" NA "III" "v1080109" 380654 380654 "4b1343f3-89a6-484f-bad3-76956a3776de" "677" "species"
"Sinonatrix annularis" "Sinonatrix annularis" "赤腹游蛇" NA "II" "v1080109" 380657 380657 "1638a432-d2fd-473f-bac2-5c1fe2a70c20" "678" "species"
"Xenochrophis piscator" "Xenochrophis piscator" "草花蛇" NA "III" "v1080109" 380659 380659 "b065f5f5-3bee-482b-9f1a-6015fcac5b19" "679" "species"
"Sinomicrurus hatori" "Sinomicrurus hatori" "羽鳥氏帶紋赤蛇" NA "II" "v1080109" 421733 421733 "40357714-5163-42fb-a0b0-fae001cf30d4" "692" "species"
"Sinomicrurus macclellandi" "Sinomicrurus macclellandi" "環紋赤蛇" NA "III" "v1080109" 1025481 NA "6cd76c8f-05b6-497d-bbf4-505334c1beac" "693" "species"
"Sinomicrurus sauteri" "Sinomicrurus sauteri" "梭德氏帶紋赤蛇" "帶紋赤蛇" "II" "v1080109" 421735 421735 "fa0528e2-44f5-442e-93ec-782a6bdc6eca" "694" "species"
"Python reticulatus" "Python reticulatus" "網紋蟒" NA "II" "v1080109" 418194 418194 "d4a4a2b6-f048-4c30-8c44-1988a7134784" "696" "species"
"Daboia siamensis" "Daboia siamensis" "鎖蛇" NA "II" "v1080109" 427241 427241 "a26247d3-879c-4272-a5c8-504f54654f50" "700" "species"
"Deinagkistrodon acutus" "Deinagkistrodon acutus" "百步蛇" NA "II" "v1080109" 380702 380702 "1e885a7c-5dfd-46f1-a141-658c4d403dbd" "701" "species"
"Ovophis monticola" "Ovophis monticola" "瑪家山龜殼花" "阿里山龜殼花" "II" "v1080109" 1025036 NA "37f0c327-4e6e-4dea-ba9f-61e3ea1da59e" "702" "species"
"Trimeresurus gracilis" "Trimeresurus gracilis" "菊池氏龜殼花" NA "III" "v1080109" 380704 380704 "4cd602c8-af4c-4e47-b2af-f85e5c48218f" "704" "species"
"Cuora flavomarginata" "Cuora flavomarginata" "食蛇龜" NA "I" "v1080109" 380611 380611 "6e4ebaf6-7bcc-4962-9b76-6c03cca192f6" "720" "species"
"Mauremys japonica" "Mauremys japonica" "日本石龜" NA "II" "v1080109" 417641 417641 "b09551a8-b711-4cde-bc58-444a41e633d7" "734" "species"
"Mauremys mutica" "Mauremys mutica" "柴棺龜" NA "I" "v1080109" 380612 380612 "4b94bfc5-86cf-4c04-a358-83da85980619" "735" "species"
"Mauremys reevesii" "Mauremys reevesii" "金龜" NA "II" "v1080109" 380610 380610 "a1148186-eaa1-482a-931f-7b26c9d96a7a" "737" "species"
"Babina okinavana" "Babina okinavana" "豎琴蛙" NA "II" "v1080109" 416138 416138 "127088ed-624d-415b-805b-42af0057f031" "810" "species"
"Hylarana taipehensis" "Hylarana taipehensis" "臺北赤蛙" NA "II" "v1080109" 416658 416658 "2457ec2f-57ac-496f-b072-e0a310d77226" "811" "species"
"Pelophylax fukienensis" "Pelophylax fukienensis" "金線蛙" NA "III" "v1080109" 418420 418420 "631a9f03-306f-4a24-b947-f20244505f4f" "812" "species"
"Rhacophorus arvalis" "Rhacophorus arvalis" "諸羅樹蛙" NA "II" "v1080109" 380048 380048 "24ac63cf-dc3f-4431-a176-1f9225c6a56a" "813" "species"
"Rhacophorus aurantiventris" "Rhacophorus aurantiventris" "橙腹樹蛙" NA "II" "v1080109" 380049 380049 "ea348cf4-0ae6-4eec-8556-5084d658982e" "814" "species"
"Rhacophorus prasinatus" "Rhacophorus prasinatus" "翡翠樹蛙" NA "III" "v1080109" 380051 380051 "8ce5f221-61ad-4e5d-a084-5084d8c9b055" "815" "species"
"Rhacophorus taipeianus" "Rhacophorus taipeianus" "臺北樹蛙" NA "III" "v1080109" 380052 380052 "3a7000ea-cb36-4995-8d90-7dcd37c51a34" "816" "species"
"Hynobius arisanensis" "Hynobius arisanensis" "阿里山山椒魚" NA "II" "v1080109" 380053 380053 "00a2f8fd-ff08-4b5f-8d37-0880e7320587" "818" "species"
"Hynobius formosanus" "Hynobius formosanus" "臺灣山椒魚" NA "I" "v1080109" 380054 380054 "53f81e9d-d079-42a1-a9f1-6fa6e96eaa52" "819" "species"
"Hynobius fuca" "Hynobius fuca" "觀霧山椒魚" NA "I" "v1080109" 413087 413087 "e8a89a66-cc57-454f-84ba-2cde6ac5fbd3" "820" "species"
"Hynobius glacialis" "Hynobius glacialis" "南湖山椒魚" NA "I" "v1080109" 413088 413088 "9610bea3-8a90-417e-9948-2fabb701fd7f" "821" "species"
"Hynobius sonani" "Hynobius sonani" "楚南氏山椒魚" NA "I" "v1080109" 380055 380055 "9ef5200b-f94b-4a6b-bdc8-e8a6ba6a548b" "822" "species"
"Hemimyzon taitungensis" "Hemimyzon taitungensis" "臺東間爬岩鰍" NA "II" "v1080109" 380992 380992 "bc1b317b-7389-4426-b00e-dc22a7667e2f" "824" "species"
"Sinogastromyzon nantaiensis" "Sinogastromyzon nantaiensis" "南臺中華爬岩鰍" NA "III" "v1080109" 383544 383544 "0c061ec6-8b80-4fed-b612-0d14da2bdee1" "825" "species"
"Sinogastromyzon puliensis" "Sinogastromyzon puliensis" "埔里中華爬岩鰍" NA "III" "v1080109" 380993 380993 "a0ab15f4-6c18-4b96-91ba-8319b7894ef3" "826" "species"
"Metzia formosae" "Metzia formosae" "臺灣梅氏<U+9BFF>" "臺灣細<U+9BFF>" "III" "v1080109" 381023 381023 "e49be715-553a-4e2c-844e-48337d474042" "828" "species"
"Metzia mesembrinum" "Metzia mesembrinum" "大鱗梅氏<U+9BFF>" NA "III" "v1080109" 381024 381024 "8364ec1e-f5a0-44bb-8a50-40d7b548fb52" "829" "species"
"Pararasbora moltrechti" "Pararasbora moltrechti" "臺灣副細鯽" "臺灣白魚" "II" "v1080109" 381020 381020 "ba1431a7-f754-4687-88fc-cbae0450977d" "830" "species"
