"Scientific name_IUCN" "Chinese common name" "category_IUCN" "Version" "criteria_IUCN" "tp_tid" "ra_tid" "namecode" "uuid" "rank"
"Ambassis miops" "小眼雙邊魚" "LC" "v1080129" NA 381308 381308 381308 "1d96e495-1edc-4b68-bc68-f9856de16b16" "species"
"Ambassis urotaenia" "尾紋雙邊魚" "LC" "v1080129" NA 381309 381309 381309 "77a61319-5d4b-4401-ae3d-e4f29a0084e9" "species"
"Ambassis vachellii" "維氏雙邊魚" "LC" "v1080129" NA 381310 381310 381310 "b4dfdfe9-183b-449a-94cf-70906661be74" "species"
"Amblycirrhitus bimacula" "雙斑鈍" "LC" "v1080129" NA 381626 381626 381626 "9a700bd3-602e-4e3d-95cc-bed8a5b4c20c" "species"
"Amblycirrhitus unimacula" NA "LC" "v1080129" NA 395503 395503 395503 "174561be-2609-4be9-a04f-9c013448ac90" "species"
"Amblyeleotris japonica" "日本鈍塘鱧" "DD" "v1080129" NA 381703 381703 381703 "e2e44a9b-0687-402a-a064-371891529445" "species"
"Amblyeleotris wheeleri" "威氏鈍塘鱧" "LC" "v1080129" NA 381708 381708 381708 "4f3300a6-d431-4397-b539-ff57292cf49f" "species"
"Amblygaster leiogaster" "平胸鈍腹鯡" "LC" "v1080129" NA 380949 380949 380949 "f1264ce9-0500-4167-aa1e-f6879cf1c18d" "species"
"Amblygaster sirm" "西姆鈍腹鯡" "LC" "v1080129" NA 380950 380950 380950 "b8074c48-1f27-4055-b2bf-c7a530a8929b" "species"
"Amblyglyphidodon aureus" "黃背寬刻齒雀鯛" "LC" "v1080129" NA 382313 382313 382313 "8d90b945-f1f0-47c8-a3ed-f50c660cc2f5" "species"
"Amblyglyphidodon curacao" "橘鈍寬刻齒雀鯛" "LC" "v1080129" NA 382314 382314 382314 "2f9cc81d-ad19-43b7-b9e5-ff8426f59551" "species"
"Amblyglyphidodon leucogaster" "白腹寬刻齒雀鯛" "LC" "v1080129" NA 382315 382315 382315 "8f92f2ec-822f-4a80-a168-4c9fc8bcf7eb" "species"
"Amblyglyphidodon ternatensis" "綠身寬刻齒雀鯛" "VU" "v1080129" "A2bc" 382316 382316 382316 "1fcd9a9a-ab86-4b8a-a7f0-0ede1e5a9153" "species"
"Amblypomacentrus breviceps" "短頭鈍雀鯛" "LC" "v1080129" NA 382317 382317 382317 "8ed1ab3d-604c-4fda-8020-4fe8a74338dd" "species"
"Amphiprion frenatus" "白條雙鋸魚" "LC" "v1080129" NA 382319 382319 382319 "0a97930f-449b-4127-a32d-e453da41a4a3" "species"
"Amphiprion perideraion" "粉紅雙鋸魚" "LC" "v1080129" NA 382321 382321 382321 "776e1809-e2ee-4d89-8514-a1d65b1cda9a" "species"
"Amphiprion polymnus" "鞍斑雙鋸魚" "LC" "v1080129" NA 382322 382322 382322 "bc1efe11-0802-4501-a16d-7872f5132f44" "species"
"Amphiprion sandaracinos" "白背雙鋸魚" "LC" "v1080129" NA 382323 382323 382323 "6de14d99-b9a8-4a74-beb5-22f27ce569d1" "species"
"Amsichthys knighti" "奈氏魚雀鯛" "LC" "v1080129" NA 382431 382431 382431 "1e1d8659-be66-4a20-9c00-cce652e368df" "species"
"Anacanthus barbatus" "擬鬚魨" "LC" "v1080129" NA 383243 383243 383243 "94bf1eb2-8e9d-4c30-8f1e-3f292420cb60" "species"
"Anampses caeruleopunctatus" "青斑阿南魚" "LC" "v1080129" NA 381917 381917 381917 "25a1deb4-b7bc-4120-8ecc-42462b780582" "species"
"Anampses geographicus" "蟲紋阿南魚" "LC" "v1080129" NA 381918 381918 381918 "87503e72-7db5-4463-9879-98e905793868" "species"
"Anampses melanurus" "烏尾阿南魚" "LC" "v1080129" NA 381919 381919 381919 "b2b05560-e2f6-412a-8478-e52542191af6" "species"
"Anampses meleagrides" "黃尾阿南魚" "LC" "v1080129" NA 381920 381920 381920 "ad3f116d-0dc8-4769-a440-3813cf29a8cf" "species"
"Anampses neoguinaicus" "新幾內亞阿南魚" "LC" "v1080129" NA 381921 381921 381921 "89292c79-b433-409a-aebc-bfe63674e1a9" "species"
"Anampses twistii" "雙斑阿南魚" "LC" "v1080129" NA 381922 381922 381922 "839aa554-6577-4e4f-9911-f18cc0a97b77" "species"
"Anas acuta" "尖尾鴨" "LC" "v1080129" NA 380057 380057 380057 "99a7a10b-343b-4300-9e7b-ba118a0d60ff" "species"
"Anas crecca" "小水鴨" "LC" "v1080129" NA 1023555 1023555 NA "32c10708-3ffd-4f51-8ac5-ea5d44fa62d0" "species"
"Anas luzonica" "呂宋鴨" "VU" "v1080129" "A2bcd" 380063 380063 380063 "e486a442-46fe-47b3-a92a-d80d7c72b5e4" "species"
"Anas platyrhynchos" "綠頭鴨" "LC" "v1080129" NA 1023556 1023556 NA "58c8a966-a888-4631-9471-b5278254287a" "species"
"Anas zonorhyncha" "花嘴鴨" "LC" "v1080129" NA 419618 419618 419618 "c870cb23-1aa0-438e-9873-61f8d920f274" "species"
"Andamia reyi" "雷氏唇盤<U+9CDA>" "DD" "v1080129" NA 381393 381393 381393 "fe4640fd-a3d0-4787-bbf9-35dad27796cb" "species"
"Andamia tetradactylus" "四指唇盤<U+9CDA>" "DD" "v1080129" NA 381394 381394 381394 "d58bad7d-bf68-43ac-ba97-c87418ede1de" "species"
"Anguilla bicolor" "太平洋雙色鰻鱺" "NT" "v1080129" NA 1023569 1023569 NA "1c250d99-5cd3-48ec-aa5e-3c29bce28430" "species"
"Anguilla celebesensis" "西里伯斯鰻鱺" "NT" "v1080129" NA 395489 395489 395489 "0733a97a-93ad-428f-b1ee-67d8ea17d307" "species"
"Anguilla japonica" "日本鰻鱺" "EN" "v1080129" "A2bc" 380711 380711 380711 "3ccac959-aa94-4269-8440-ab537cb61ce4" "species"
"Anguilla luzonensis" "呂宋鰻鱺" "NT" "v1080129" NA 395491 395491 395491 "95834030-ab6f-4c14-bd81-cb2e46b30e90" "species"
"Anguilla marmorata" "花鰻鱺" "LC" "v1080129" NA 380712 380712 380712 "9580023d-6c11-42a2-a03e-4513d983cae3" "species"
"Anourosorex yamashinai" "短尾鼩" "LC" "v1080129" NA 416053 416053 416053 "59e4538f-605e-4f8a-954d-6695df1d6fdc" "species"
"Anous minutus" "黑玄燕鷗" "LC" "v1080129" NA 428569 428569 428569 "2723a19f-4485-4663-8ac9-8546bf9e4ad6" "species"
"Anous stolidus" "玄燕鷗" "LC" "v1080129" NA 1023581 1023581 NA "76f9f298-fd14-4242-8f51-c6a40783435d" "species"
"Anoxypristis cuspidata" "鈍鋸<U+9C5D>" "EN" "v1080129" "A2cd" 395227 395227 395227 "0555edc8-ce2d-4f37-90ef-3c89a6d74d70" "species"
"Anser albifrons" "白額雁" "LC" "v1080129" NA 1023582 1023582 NA "bc1ea5f1-85ad-452e-bb65-b24f001d8c5e" "species"
"Anser anser" "灰雁" "LC" "v1080129" NA 1023583 1023583 NA "8bb45e95-90dc-4525-a76c-65d3b676b983" "species"
"Anser erythropus" "小白額雁" "VU" "v1080129" "A2bcd+3bcd+4bcd" 380072 380072 380072 "925fa76b-afac-482a-aaa2-af890f137cf8" "species"
"Anser fabalis" "寒林豆雁" "LC" "v1080129" NA 1023584 1023584 NA "33c6ce67-e5d3-4ce7-bd88-2b0a1a87027a" "species"
"Antennarius striatus" "條紋躄魚" "LC" "v1080129" NA 381143 381143 381143 "b9a92d4d-6ccc-4b70-a32d-c9581e542fb8" "species"
"Anthropoides virgo" "簑羽鶴" "LC" "v1080129" NA 419631 419631 419631 "64c27564-4e73-4b44-a4a5-0b12738808ba" "species"
"Anthus cervinus" "赤喉鷚" "LC" "v1080129" NA 380419 380419 380419 "d0f4dcb2-c75e-4f56-aeee-4c1b8f42f583" "species"
"Anthus godlewskii" "布萊氏鷚" "LC" "v1080129" NA 404543 404543 404543 "cf142704-68ef-4d7f-ada2-a05dc3d27135" "species"
"Anthus gustavi" "白背鷚" "LC" "v1080129" NA 1023591 1023591 NA "8a142107-0039-452f-870b-7eddc80f7ecd" "species"
"Anthus hodgsoni" "樹鷚" "LC" "v1080129" NA 1023592 1023592 NA "3fb5dd80-4ece-4e8f-aa61-00fc1db3118a" "species"
"Anthus pratensis" "草地鷚" "NT" "v1080129" NA 1023593 1023593 NA "3533c932-b627-4a56-901c-483f025365e9" "species"
"Anthus richardi" "大花鷚" "LC" "v1080129" NA 1023594 1023594 NA "f29c1289-d598-4041-b8c4-9ba3426d8e6e" "species"
"Anthus roseatus" "粉紅胸鷚" "LC" "v1080129" NA 432175 432175 432175 "ed99ca2a-c335-49f5-acb8-e019d40e699a" "species"
"Anthus rubescens" "黃腹鷚" "LC" "v1080129" NA 1023595 1023595 NA "2c47464f-c529-4cef-8fc0-630785635851" "species"
"Anthus spinoletta" "水鷚" "LC" "v1080129" NA 1023596 1023596 NA "991d7fdb-65ce-47d0-93f3-6ceb61290be9" "species"
"Anthus trivialis" "林鷚" "LC" "v1080129" NA 1023597 1023597 NA "341c7c16-0748-4785-8df6-bcc31d6ef20d" "species"
"Antigone vipio" "白枕鶴" "VU" "v1080129" "A2bcde+3bcde+4bcde" 432195 432195 432195 "a9182b3e-5cb1-4c28-932d-26b9a7eb62db" "species"
"Antigonia capros" "高菱鯛" "LC" "v1080129" NA 383056 383056 383056 "e80ff2ec-488c-4056-906e-72f250fe235b" "species"
"Antimora microlepis" "細鱗擬深海鱈" "DD" "v1080129" NA 383248 383248 383248 "f6969603-493e-45c9-a085-c51a4bab9672" "species"
"Anyperodon leucogrammicus" "白線光<U+816D>鱸" "LC" "v1080129" NA 382506 382506 382506 "b25b107a-562c-4e57-8dff-7e258bdf3f72" "species"
"Aphareus furca" "欖色細齒笛鯛" "LC" "v1080129" NA 382085 382085 382085 "76f2fa61-8fc4-4f48-8ae2-49184359f03a" "species"
"Aphareus rutilans" "銹色細齒笛鯛" "LC" "v1080129" NA 382086 382086 382086 "9e3ef7e3-ec14-4d40-9eb9-9f4a1e79f40b" "species"
"Aphyonus gelatinosus" "澳洲裸鼬魚" "LC" "v1080129" NA 395304 395304 395304 "ef47fffd-e97e-4c1f-9243-b3f919b40d7e" "species"
"Apistus carinatus" "棱鬚蓑<U+9B8B>" "LC" "v1080129" NA 382827 382827 382827 "55cfc43f-f05d-4249-bacd-f756f571365b" "species"
"Aplonis panayensis" "輝椋鳥" "LC" "v1080129" NA 404545 404545 404545 "065d9218-4bba-4659-ada9-9ee0c221f83d" "species"
"Apocryptodon punctatus" "短斑叉牙<U+9C15>虎" "LC" "v1080129" NA 381714 381714 381714 "82f6da5c-fcff-417f-ae75-bfd73b54628e" "species"
"Apodemus agrarius" "赤背條鼠" "LC" "v1080129" NA 380591 380591 380591 "e882a3b5-7cdd-4469-84e8-9bad36ee1008" "species"
"Apodemus semotus" "臺灣森鼠" "LC" "v1080129" NA 380592 380592 380592 "68018d1d-450b-4192-a8b6-052ed439aa59" "species"
"Apogonichthys ocellatus" "眼斑原天竺鯛" "LC" "v1080129" NA 381360 381360 381360 "5cca441c-7255-4694-9e71-ffe4b4e6e826" "species"
"Apolemichthys trimaculatus" "三點阿波魚" "LC" "v1080129" NA 382279 382279 382279 "391d4b85-001f-4ead-9de3-e0e2d7bc2bad" "species"
